when feeling depressed I Couldn't seem to experience any positive feeling at all,when feeling depressed I Found it difficult to work up the initiative to do things,when feeling depressed I Felt that I had nothing to look forward to,when feeling depressed I Felt down-hearted and blue,when feeling depressed I was Unable to become enthusiastic about anything,when feeling depressed I Felt I wasn't worth much as a person,when feeling depressed I Felt that life was meaningless,when feeling anxious I Aware of dryness of my mouth,"when feeling anxious I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","when feeling anxious I Experienced trembling (e.g., in the hands)",when feeling anxious I Worried about situations in which I might panic and make a fool of myself,when feeling anxious I Felt I was close to panic,"when feeling anxious I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",when feeling anxious I Felt scared without any good reason,when feeling anxious I Found it hard to wind down,when feeling stressed I Tended to over-react to situations,when feeling stressed I Felt that I was using a lot of nervous energy,when feeling stressed I Found myself getting agitated,when feeling stressed I Found it difficult to relax,when feeling stressed I was intolerant of anything that kept me from getting on with what I was doing,when feeling stressed I Felt that I was rather touchy
1.0,0.962615,0.9716102,0.94712,0.9590688,0.9570269,0.95798475,0.8262023,0.8468696,0.8345022,0.8310224,0.8498321,0.8445882,0.86043066,0.8513584,0.8493374,0.8610014,0.8593049,0.85309523,0.85822964,0.8576025
0.962615,1.0,0.97583175,0.9655205,0.96924186,0.9692676,0.96992546,0.8239122,0.831063,0.8202091,0.82403374,0.82600695,0.83620435,0.82493323,0.843125,0.83583945,0.8374978,0.8408353,0.84101695,0.83674574,0.8327648
0.9716102,0.97583175,1.0,0.9691054,0.9779989,0.9782015,0.9791365,0.8267251,0.8312281,0.8210945,0.82734126,0.83259624,0.836666,0.83624715,0.84232074,0.8414705,0.84287816,0.84846497,0.84520614,0.84428036,0.8404286
0.94712,0.9655205,0.9691054,1.0,0.97732323,0.9810112,0.9833029,0.82740396,0.8194776,0.8109762,0.81446534,0.8155797,0.8309926,0.8194364,0.8394174,0.83470666,0.83296555,0.84086967,0.83902377,0.82793176,0.8320276
0.9590688,0.96924186,0.9779989,0.97732323,1.0,0.98138314,0.98320276,0.8436187,0.8314046,0.82215625,0.83308405,0.83242875,0.8386134,0.834384,0.8476591,0.8467047,0.84614104,0.8542536,0.8504955,0.8512283,0.8405009
0.9570269,0.9692676,0.9782015,0.9810112,0.98138314,1.0,0.9889728,0.8288534,0.8217509,0.8118372,0.8195326,0.82247543,0.828233,0.8254025,0.8355357,0.8362034,0.8409983,0.8425834,0.8395992,0.8308406,0.8330716
0.95798475,0.96992546,0.9791365,0.9833029,0.98320276,0.9889728,1.0,0.8346134,0.82495666,0.81300205,0.8175596,0.8215321,0.8313402,0.8286771,0.83846915,0.8362773,0.8386586,0.84353983,0.8415934,0.8336661,0.83546466
0.8262023,0.8239122,0.8267251,0.82740396,0.8436187,0.8288534,0.8346134,1.0,0.9356769,0.9409648,0.94607097,0.9399839,0.92764354,0.9285931,0.8853136,0.8852586,0.8877735,0.8977027,0.8815395,0.8826536,0.8791875
0.8468696,0.831063,0.8312281,0.8194776,0.8314046,0.8217509,0.82495666,0.9356769,1.0,0.9568274,0.94811517,0.9574194,0.9598874,0.9488888,0.8914859,0.8876096,0.89816266,0.89702994,0.88570195,0.89102024,0.88733226
0.8345022,0.8202091,0.8210945,0.8109762,0.82215625,0.8118372,0.81300205,0.9409648,0.9568274,1.0,0.94700915,0.9567161,0.9448119,0.9433104,0.8967373,0.89463836,0.89630497,0.9049045,0.8885462,0.8869456,0.8979561
