when feeling depressed I Couldn't seem to experience any positive feeling at all,when feeling depressed I Found it difficult to work up the initiative to do things,when feeling depressed I Felt that I had nothing to look forward to,when feeling depressed I Felt down-hearted and blue,when feeling depressed I was Unable to become enthusiastic about anything,when feeling depressed I Felt I wasn't worth much as a person,when feeling depressed I Felt that life was meaningless,when feeling anxious I Aware of dryness of my mouth,"when feeling anxious I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","when feeling anxious I Experienced trembling (e.g., in the hands)",when feeling anxious I Worried about situations in which I might panic and make a fool of myself,when feeling anxious I Felt I was close to panic,"when feeling anxious I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",when feeling anxious I Felt scared without any good reason,when feeling anxious I Found it hard to wind down,when feeling stressed I Tended to over-react to situations,when feeling stressed I Felt that I was using a lot of nervous energy,when feeling stressed I Found myself getting agitated,when feeling stressed I Found it difficult to relax,when feeling stressed I was intolerant of anything that kept me from getting on with what I was doing,when feeling stressed I Felt that I was rather touchy
1.0,0.9007505,0.93190384,0.9368813,0.9671655,0.9123505,0.9171108,0.29808384,0.348088,0.30096662,0.38101542,0.38010207,0.3779921,0.40656534,0.45777717,0.43990588,0.45625624,0.45213255,0.44814032,0.4650127,0.4221838
0.9007505,1.0,0.87454665,0.89358366,0.94081235,0.8846794,0.88403225,0.27859214,0.33211735,0.28531972,0.37095162,0.3498844,0.34985685,0.35987648,0.47861245,0.45672765,0.43426374,0.43968013,0.4573546,0.4560299,0.40121782
0.93190384,0.87454665,1.0,0.9220749,0.9364491,0.89752674,0.9060815,0.3128093,0.34628433,0.30732936,0.42310533,0.40671265,0.38139266,0.41274345,0.42327097,0.4324907,0.42366806,0.42446187,0.4156134,0.4459989,0.4039079
0.9368813,0.89358366,0.9220749,1.0,0.94471496,0.9116227,0.90899366,0.28827825,0.31925455,0.28864092,0.37228316,0.3695694,0.3569741,0.37245658,0.43612108,0.4364567,0.4327521,0.43607527,0.4219081,0.43804735,0.4198648
0.9671655,0.94081235,0.9364491,0.94471496,1.0,0.9179035,0.9212203,0.31933132,0.366513,0.3196578,0.40251556,0.39791465,0.38621673,0.41411576,0.48785508,0.48415953,0.47378638,0.4843396,0.47574064,0.49785852,0.4414381
0.9123505,0.8846794,0.89752674,0.9116227,0.9179035,1.0,0.9420995,0.23563297,0.27146995,0.2461295,0.3585399,0.32742682,0.3100163,0.3372257,0.37249255,0.3983208,0.38719973,0.3750592,0.3610244,0.39263844,0.3689004
0.9171108,0.88403225,0.9060815,0.90899366,0.9212203,0.9420995,1.0,0.24914607,0.29414245,0.24602987,0.34976977,0.32924342,0.32595363,0.34146222,0.37901518,0.3920107,0.3827747,0.3762216,0.3716391,0.39392236,0.3431426
0.29808384,0.27859214,0.3128093,0.28827825,0.31933132,0.23563297,0.24914607,1.0,0.861729,0.7767689,0.80951405,0.82682943,0.7880773,0.8377958,0.5102562,0.51857936,0.50811046,0.51206154,0.53256756,0.5139541,0.5157176
0.348088,0.33211735,0.34628433,0.31925455,0.366513,0.27146995,0.29414245,0.861729,1.0,0.84350747,0.87760824,0.8913039,0.90962106,0.8949729,0.5467052,0.54284817,0.5627898,0.548043,0.58511126,0.5684268,0.5341621
0.30096662,0.28531972,0.30732936,0.28864092,0.3196578,0.2461295,0.24602987,0.7767689,0.84350747,1.0,0.84947264,0.8635319,0.82235575,0.86717236,0.52925915,0.555411,0.55319816,0.5502561,0.559636,0.55407923,0.5911667
0.38101542,0.37095162,0.42310533,0.37228316,0.40251556,0.3585399,0.34976977,0.80951405,0.87760824,0.84947264,1.0,0.95586246,0.8610993,0.92366296,0.5352123,0.5949262,0.5628493,0.56018084,0.5631172,0.58992195,0.5739214
0.38010207,0.3498844,0.40671265,0.3695694,0.39791465,0.32742682,0.32924342,0.82682943,0.8913039,0.8635319,0.95586246,1.0,0.87533283,0.941374,0.5575394,0.59423226,0.5843163,0.5831353,0.58277786,0.60044515,0.59607637
0.3779921,0.34985685,0.38139266,0.3569741,0.38621673,0.3100163,0.32595363,0.7880773,0.90962106,0.82235575,0.8610993,0.87533283,1.0,0.87814933,0.5398951,0.55816233,0.5908142,0.5591351,0.58055836,0.57196873,0.55303365
0.40656534,0.35987648,0.41274345,0.37245658,0.41411576,0.3372257,0.34146222,0.8377958,0.8949729,0.86717236,0.92366296,0.941374,0.87814933,1.0,0.5536674,0.5834961,0.57614654,0.57368255,0.5814905,0.5964319,0.58574724
0.45777717,0.47861245,0.42327097,0.43612108,0.48785508,0.37249255,0.37901518,0.5102562,0.5467052,0.52925915,0.5352123,0.5575394,0.5398951,0.5536674,1.0,0.9245265,0.9248855,0.94767046,0.97049147,0.9215826,0.93408996
0.43990588,0.45672765,0.4324907,0.4364567,0.48415953,0.3983208,0.3920107,0.51857936,0.54284817,0.555411,0.5949262,0.59423226,0.55816233,0.5834961,0.9245265,1.0,0.92864627,0.950569,0.93755,0.91758484,0.9269133
0.45625624,0.43426374,0.42366806,0.4327521,0.47378638,0.38719973,0.3827747,0.50811046,0.5627898,0.55319816,0.5628493,0.5843163,0.5908142,0.57614654,0.9248855,0.92864627,1.0,0.96129996,0.9515543,0.92075586,0.9217017
0.45213255,0.43968013,0.42446187,0.43607527,0.4843396,0.3750592,0.3762216,0.51206154,0.548043,0.5502561,0.56018084,0.5831353,0.5591351,0.57368255,0.94767046,0.950569,0.96129996,1.0,0.96764207,0.9380901,0.943097
0.44814032,0.4573546,0.4156134,0.4219081,0.47574064,0.3610244,0.3716391,0.53256756,0.58511126,0.559636,0.5631172,0.58277786,0.58055836,0.5814905,0.97049147,0.93755,0.9515543,0.96764207,1.0,0.9384395,0.9329385
0.4650127,0.4560299,0.4459989,0.43804735,0.49785852,0.39263844,0.39392236,0.5139541,0.5684268,0.55407923,0.58992195,0.60044515,0.57196873,0.5964319,0.9215826,0.91758484,0.92075586,0.9380901,0.9384395,1.0,0.8945277
0.4221838,0.40121782,0.4039079,0.4198648,0.4414381,0.3689004,0.3431426,0.5157176,0.5341621,0.5911667,0.5739214,0.59607637,0.55303365,0.58574724,0.93408996,0.9269133,0.9217017,0.943097,0.9329385,0.8945277,1.0
