when feeling depressed I Couldn't seem to experience any positive feeling at all,when feeling depressed I Found it difficult to work up the initiative to do things,when feeling depressed I Felt that I had nothing to look forward to,when feeling depressed I Felt down-hearted and blue,when feeling depressed I was Unable to become enthusiastic about anything,when feeling depressed I Felt I wasn't worth much as a person,when feeling depressed I Felt that life was meaningless,when feeling anxious I Aware of dryness of my mouth,"when feeling anxious I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","when feeling anxious I Experienced trembling (e.g., in the hands)",when feeling anxious I Worried about situations in which I might panic and make a fool of myself,when feeling anxious I Felt I was close to panic,"when feeling anxious I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",when feeling anxious I Felt scared without any good reason,when feeling anxious I Found it hard to wind down,when feeling stressed I Tended to over-react to situations,when feeling stressed I Felt that I was using a lot of nervous energy,when feeling stressed I Found myself getting agitated,when feeling stressed I Found it difficult to relax,when feeling stressed I was intolerant of anything that kept me from getting on with what I was doing,when feeling stressed I Felt that I was rather touchy
1.0,0.33048338,0.55151707,0.44950575,0.65453166,0.36681265,0.42080486,0.3417641,0.38548744,0.35555992,0.21486394,0.36668128,0.30127966,0.48736092,0.46273676,0.22432922,0.42604616,0.44943434,0.5280938,0.31292835,0.36875
0.33048338,1.0,0.34466204,0.33306703,0.47642183,0.33403772,0.3261524,0.23878714,0.42230895,0.3269617,0.41308165,0.33305034,0.28563112,0.32335433,0.61797446,0.4249,0.43068945,0.45535132,0.6717037,0.515637,0.383448
0.55151707,0.34466204,1.0,0.51105726,0.5540317,0.5531766,0.68795294,0.3447047,0.26499382,0.27561173,0.39510554,0.46765038,0.2610398,0.5610114,0.42088002,0.33930153,0.43714857,0.37032014,0.47826615,0.39450884,0.38968074
0.44950575,0.33306703,0.51105726,1.0,0.33519384,0.50433946,0.55013716,0.35094884,0.36153263,0.41832173,0.3630774,0.49729586,0.34409094,0.54464066,0.47704077,0.28394935,0.43772852,0.4769206,0.5362317,0.38181493,0.52260655
0.65453166,0.47642183,0.5540317,0.33519384,1.0,0.3455515,0.38285813,0.3338717,0.3466587,0.32677236,0.30026144,0.34901488,0.25133234,0.4448422,0.41079196,0.3626049,0.38085622,0.4016694,0.4659942,0.4442515,0.4118007
0.36681265,0.33403772,0.5531766,0.50433946,0.3455515,1.0,0.67189366,0.3060263,0.23881081,0.2792759,0.40424708,0.3699898,0.19505313,0.46694615,0.3482824,0.28226146,0.38162225,0.37448153,0.41353032,0.40168044,0.51480246
0.42080486,0.3261524,0.68795294,0.55013716,0.38285813,0.67189366,1.0,0.34406567,0.34849223,0.29927158,0.31883222,0.388784,0.3090679,0.5264199,0.4328395,0.20318495,0.36777237,0.3384843,0.45088196,0.37519976,0.3611734
0.3417641,0.23878714,0.3447047,0.35094884,0.3338717,0.3060263,0.34406567,1.0,0.5626778,0.40520722,0.29519275,0.4172607,0.29542592,0.36414164,0.44992924,0.28071335,0.40004385,0.41218805,0.45169696,0.330499,0.48347613
0.38548744,0.42230895,0.26499382,0.36153263,0.3466587,0.23881081,0.34849223,0.5626778,1.0,0.52807593,0.40485808,0.52824247,0.6724589,0.3904809,0.5901834,0.4077435,0.5888124,0.5834972,0.6475318,0.4307803,0.40653577
0.35555992,0.3269617,0.27561173,0.41832173,0.32677236,0.2792759,0.29927158,0.40520722,0.52807593,1.0,0.46890584,0.5987158,0.36407858,0.5075561,0.41443747,0.46249095,0.57121444,0.5416592,0.45245856,0.3032718,0.57182395
0.21486394,0.41308165,0.39510554,0.3630774,0.30026144,0.40424708,0.31883222,0.29519275,0.40485808,0.46890584,1.0,0.7742791,0.3164045,0.58766663,0.3222553,0.70367604,0.6517828,0.5810632,0.47790572,0.45989296,0.517822
0.36668128,0.33305034,0.46765038,0.49729586,0.34901488,0.3699898,0.388784,0.4172607,0.52824247,0.5987158,0.7742791,1.0,0.44019905,0.6703131,0.41157377,0.6239046,0.7471943,0.67345715,0.5145078,0.42707184,0.56314826
0.30127966,0.28563112,0.2610398,0.34409094,0.25133234,0.19505313,0.3090679,0.29542592,0.6724589,0.36407858,0.3164045,0.44019905,1.0,0.2723651,0.39469638,0.3169719,0.44476655,0.39666855,0.42837048,0.3393855,0.30060703
0.48736092,0.32335433,0.5610114,0.54464066,0.4448422,0.46694615,0.5264199,0.36414164,0.3904809,0.5075561,0.58766663,0.6703131,0.2723651,1.0,0.38169438,0.38356596,0.5699567,0.4969913,0.47339368,0.48178378,0.47315827
