when feeling depressed I Couldn't seem to experience any positive feeling at all,when feeling depressed I Found it difficult to work up the initiative to do things,when feeling depressed I Felt that I had nothing to look forward to,when feeling depressed I Felt down-hearted and blue,when feeling depressed I was Unable to become enthusiastic about anything,when feeling depressed I Felt I wasn't worth much as a person,when feeling depressed I Felt that life was meaningless,when feeling anxious I Aware of dryness of my mouth,"when feeling anxious I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","when feeling anxious I Experienced trembling (e.g., in the hands)",when feeling anxious I Worried about situations in which I might panic and make a fool of myself,when feeling anxious I Felt I was close to panic,"when feeling anxious I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",when feeling anxious I Felt scared without any good reason,when feeling anxious I Found it hard to wind down,when feeling stressed I Tended to over-react to situations,when feeling stressed I Felt that I was using a lot of nervous energy,when feeling stressed I Found myself getting agitated,when feeling stressed I Found it difficult to relax,when feeling stressed I was intolerant of anything that kept me from getting on with what I was doing,when feeling stressed I Felt that I was rather touchy
1.0,0.8203669,0.8689428,0.84506136,0.89733344,0.83018696,0.8605919,0.80014205,0.831808,0.8274981,0.79144394,0.8123024,0.7917153,0.8740042,0.825565,0.79258716,0.828309,0.82805675,0.8482632,0.80660003,0.8051977
0.8203669,1.0,0.8113417,0.80612904,0.863297,0.81490374,0.7904264,0.7798946,0.81364155,0.8100286,0.81118786,0.8009437,0.77478015,0.79967314,0.8741487,0.81181246,0.8160758,0.8417561,0.8821537,0.81141746,0.8257859
0.8689428,0.8113417,1.0,0.8592109,0.8964432,0.85740834,0.9104416,0.8053954,0.8117843,0.7877637,0.78419626,0.8043972,0.7864075,0.84535223,0.82740957,0.7874455,0.81530786,0.8042961,0.8175833,0.80850697,0.78888834
0.84506136,0.80612904,0.8592109,1.0,0.82617414,0.85757774,0.8674439,0.8151084,0.8100461,0.8285217,0.8082607,0.82586694,0.7634535,0.82427824,0.83767426,0.80317384,0.84387946,0.8298109,0.8377924,0.8009277,0.8434766
0.89733344,0.863297,0.8964432,0.82617414,1.0,0.84697485,0.86197525,0.80547124,0.8256428,0.8031874,0.7920907,0.7845204,0.7956979,0.8437173,0.8258307,0.81811285,0.8015079,0.8073149,0.8278387,0.8439455,0.7874563
0.83018696,0.81490374,0.85740834,0.85757774,0.84697485,1.0,0.880284,0.81268424,0.81267226,0.8093045,0.81234556,0.82512075,0.77717495,0.8230391,0.8181025,0.83110553,0.8254548,0.82666117,0.81811774,0.8241685,0.8352191
0.8605919,0.7904264,0.9104416,0.8674439,0.86197525,0.880284,1.0,0.81831473,0.8176169,0.80704355,0.8032273,0.82821465,0.79414123,0.84016347,0.8222668,0.81481045,0.82758397,0.82876647,0.820714,0.82493,0.8116972
0.80014205,0.7798946,0.8053954,0.8151084,0.80547124,0.81268424,0.81831473,1.0,0.8413799,0.83771527,0.8179442,0.8413085,0.8378565,0.8106439,0.79992867,0.8062421,0.8367059,0.8190797,0.81899554,0.8123081,0.83208394
0.831808,0.81364155,0.8117843,0.8100461,0.8256428,0.81267226,0.8176169,0.8413799,1.0,0.8751857,0.8284369,0.8452114,0.91064805,0.83807975,0.8379846,0.8316946,0.84796685,0.84884304,0.8528713,0.8212917,0.8204249
0.8274981,0.8100286,0.7877637,0.8285217,0.8031874,0.8093045,0.80704355,0.83771527,0.8751857,1.0,0.84121114,0.8674022,0.8339207,0.8470612,0.8263659,0.8340391,0.8795586,0.86374384,0.84366715,0.81070423,0.85611373
0.79144394,0.81118786,0.78419626,0.8082607,0.7920907,0.81234556,0.8032273,0.8179442,0.8284369,0.84121114,1.0,0.88921654,0.8080916,0.8288184,0.8138936,0.86029553,0.87247443,0.8390616,0.8255334,0.82167053,0.8232503
0.8123024,0.8009437,0.8043972,0.82586694,0.7845204,0.82512075,0.82821465,0.8413085,0.8452114,0.8674022,0.88921654,1.0,0.79607844,0.856687,0.8321289,0.837948,0.8927332,0.8779508,0.8530144,0.80492306,0.86344916
