I am the life of the party.,I don't talk a lot.,I feel comfortable around people.,I keep in the background.,I start conversations.,I have little to say.,I talk to a lot of different people at parties.,I don't like to draw attention to myself.,I don't mind being the center of attention.,I am quiet around strangers.,I get stressed out easily.,I am relaxed most of the time.,I worry about things.,I seldom feel blue.,I am easily disturbed.,I get upset easily.,I change my mood a lot.,I have frequent mood swings.,I get irritated easily.,I often feel blue.,I feel little concern for others.,I am interested in people.,I insult people.,I sympathize with others' feelings.,I am not interested in other people's problems.,I have a soft heart.,I am not really interested in others.,I take time out for others.,I feel others' emotions.,I make people feel at ease.,I am always prepared.,I leave my belongings around.,I pay attention to details.,I make a mess of things.,I get chores done right away.,I often forget to put things back in their proper place.,I like order.,I shirk my duties.,I follow a schedule.,I am exacting in my work.,I have a rich vocabulary.,I have difficulty understanding abstract ideas.,I have a vivid imagination.,I am not interested in abstract ideas.,I have excellent ideas.,I do not have a good imagination.,I am quick to understand things.,I use difficult words.,I spend time reflecting on things.,I am full of ideas.
1.0,0.25840035,0.37442172,0.36651728,0.34383622,0.22954413,0.39859214,0.17017214,0.25696373,0.3159104,0.19972481,0.42487043,0.38929057,0.25895244,0.2748124,0.24123004,0.3349934,0.2965444,0.21361005,0.30041322,0.27755126,0.44228435,0.33366197,0.30725756,0.31854632,0.3271815,0.2961433,0.4133261,0.35818595,0.3873265,0.3967306,0.35982767,0.32420906,0.32051203,0.26512375,0.114974126,0.34376776,0.32683307,0.43312752,0.3582367,0.25790894,0.14794451,0.3750981,0.20978117,0.2553059,0.20402104,0.23886871,0.25150645,0.33824095,0.34991223
0.25840035,1.0,0.29361704,0.2983301,0.5127517,0.7197812,0.5130077,0.40708598,0.33786914,0.37632027,0.39431843,0.4640934,0.41057515,0.41905126,0.427694,0.42115512,0.48281342,0.37711096,0.40761638,0.3644643,0.3981679,0.339743,0.364942,0.23735674,0.37864506,0.31033278,0.48744413,0.30990052,0.27807295,0.2718676,0.35297567,0.30823272,0.37972996,0.4353851,0.25379762,0.29734698,0.328925,0.30043218,0.31576818,0.3285368,0.44420162,0.2712799,0.27394107,0.41984135,0.35352045,0.48013592,0.35163385,0.47569987,0.32443288,0.3329022
0.37442172,0.29361704,1.0,0.341913,0.33866742,0.26042703,0.42570415,0.37155938,0.31036657,0.6819169,0.47213963,0.45130107,0.46585214,0.41767123,0.4876789,0.4693721,0.3990955,0.382191,0.45653063,0.42852664,0.60534006,0.66451293,0.5799911,0.59514314,0.47211313,0.33234265,0.4725804,0.5583391,0.603172,0.7883383,0.34896106,0.47278637,0.3619098,0.4051435,0.35702017,0.33036137,0.40910202,0.23938496,0.28518423,0.30323523,0.2223167,0.34901765,0.2739803,0.33283737,0.33783737,0.2735145,0.4599688,0.32053477,0.45892906,0.34710398
0.36651728,0.2983301,0.341913,1.0,0.35820615,0.29264688,0.21558805,0.24126522,0.32139403,0.38722923,0.33581308,0.3432138,0.48556808,0.24380574,0.3464677,0.31931245,0.25874904,0.28396592,0.2900449,0.26224685,0.29536343,0.42483994,0.37629795,0.28562868,0.2281577,0.332855,0.3031143,0.374035,0.29364344,0.33753258,0.46502507,0.52059513,0.52137023,0.4418589,0.33118284,0.30751976,0.38187885,0.3766788,0.5505933,0.42735818,0.22273569,0.17430048,0.32035264,0.2735233,0.28608426,0.19206643,0.29348096,0.29832625,0.38020843,0.34234497
0.34383622,0.5127517,0.33866742,0.35820615,1.0,0.4435403,0.4138517,0.2688111,0.23451573,0.27419254,0.36850464,0.31929043,0.47269925,0.275798,0.4160763,0.40335992,0.37271234,0.37711513,0.4142722,0.2990784,0.3500526,0.45771682,0.48460776,0.3859412,0.3294414,0.3026517,0.34032637,0.43543357,0.44234183,0.40138867,0.36182076,0.37292778,0.44402492,0.5130593,0.46141776,0.23064801,0.42454505,0.38620454,0.45456257,0.31376767,0.31752932,0.30990514,0.32269734,0.3148887,0.41650158,0.23771289,0.43868038,0.4575294,0.41817233,0.41464087
0.22954413,0.7197812,0.26042703,0.29264688,0.4435403,1.0,0.2932263,0.29804572,0.26641285,0.30676123,0.32684067,0.320306,0.396965,0.42116854,0.41420546,0.38715792,0.30993164,0.28351215,0.35724348,0.30471423,0.4200335,0.2920888,0.3239401,0.21467999,0.24577527,0.4072629,0.34123304,0.24811423,0.24391198,0.24123825,0.29274532,0.36336464,0.34757212,0.3789256,0.24384733,0.22283202,0.3214164,0.3123032,0.27150622,0.27208275,0.44952625,0.2377871,0.32182765,0.30176646,0.39936835,0.45157388,0.35898328,0.40183944,0.26756653,0.37246102
0.39859214,0.5130077,0.42570415,0.21558805,0.4138517,0.2932263,1.0,0.18786716,0.13754833,0.43312275,0.28551972,0.44271627,0.3415102,0.23529465,0.27919126,0.27718937,0.501637,0.44157398,0.27071136,0.310854,0.40397272,0.41468543,0.39356744,0.43772963,0.41932964,0.19796063,0.42878628,0.46389225,0.4393875,0.36675647,0.31392577,0.25626212,0.35631698,0.3785407,0.22248988,0.3492432,0.2109051,0.20935886,0.29021102,0.26749477,0.30800647,0.3166051,0.21170625,0.28335714,0.3038129,0.15142588,0.31922776,0.36507034,0.4041404,0.29426455
0.17017214,0.40708598,0.37155938,0.24126522,0.2688111,0.29804572,0.18786716,1.0,0.6995666,0.3200478,0.40043673,0.28932583,0.3265011,0.31900275,0.39362398,0.35907662,0.36307886,0.31847036,0.38241062,0.2792426,0.46692616,0.4428387,0.31844267,0.3123443,0.5323313,0.2116157,0.5881915,0.31680554,0.28790206,0.32053393,0.20822479,0.3010449,0.37140176,0.25011158,0.19771613,0.41741458,0.3916692,0.23910423,0.15049678,0.30295333,0.06955755,0.33870816,0.23639,0.562196,0.24743447,0.47397357,0.3486351,0.190252,0.40653235,0.22224618
0.25696373,0.33786914,0.31036657,0.32139403,0.23451573,0.26641285,0.13754833,0.6995666,1.0,0.2849347,0.32393152,0.2709098,0.33705285,0.2860465,0.3470785,0.2668286,0.2802556,0.24983275,0.30034155,0.23362346,0.4251941,0.3951213,0.21025714,0.25815788,0.5106709,0.25836647,0.5316493,0.22164242,0.22553124,0.2632212,0.21925248,0.23940141,0.41506818,0.24027038,0.16892157,0.33877176,0.2626859,0.19075656,0.14679451,0.30207714,0.07875347,0.26961756,0.21632235,0.5439929,0.24378514,0.39929467,0.28479847,0.10802924,0.34592524,0.26121002
0.3159104,0.37632027,0.6819169,0.38722923,0.27419254,0.30676123,0.43312275,0.3200478,0.2849347,1.0,0.36125693,0.39503857,0.4301154,0.38093594,0.43496504,0.3870416,0.3262751,0.35702983,0.37003452,0.3301382,0.52113783,0.44863436,0.4339214,0.43442267,0.42498714,0.30385387,0.43047315,0.4639689,0.40139276,0.49125692,0.32403687,0.5186177,0.33546966,0.42409107,0.29857937,0.28460062,0.23743413,0.30196685,0.25573495,0.27617484,0.22460702,0.3145097,0.22963259,0.36628503,0.22921562,0.2375267,0.37472257,0.30099383,0.35207412,0.28664884
0.19972481,0.39431843,0.47213963,0.33581308,0.36850464,0.32684067,0.28551972,0.40043673,0.32393152,0.36125693,1.0,0.60457855,0.4532912,0.44022343,0.8453415,0.8711006,0.50156325,0.5367426,0.8714274,0.46464434,0.44061142,0.37784913,0.37839612,0.36698893,0.32715082,0.40979636,0.3282148,0.40615183,0.38464737,0.52673686,0.40808457,0.3642701,0.41119984,0.44496626,0.48799554,0.3398095,0.412543,0.3627759,0.3535809,0.4511861,0.3050435,0.43952996,0.36739993,0.3315176,0.32177204,0.2704018,0.5867207,0.45795926,0.37718454,0.35444418
0.42487043,0.4640934,0.45130107,0.3432138,0.31929043,0.320306,0.44271627,0.28932583,0.2709098,0.39503857,0.60457855,1.0,0.4045358,0.48712394,0.5394674,0.5426295,0.58189917,0.59216315,0.53072596,0.60286546,0.4141358,0.34359914,0.3083267,0.3764124,0.27727026,0.332307,0.364538,0.5438624,0.3873752,0.47102684,0.53428614,0.40256095,0.41732118,0.3965531,0.38047698,0.40949425,0.37534893,0.3166393,0.32153875,0.39326802,0.28695816,0.30416274,0.33354858,0.27829447,0.35463095,0.27795568,0.42874557,0.35560703,0.51719123,0.35292143
