I am the life of the party.,I don't talk a lot.,I feel comfortable around people.,I keep in the background.,I start conversations.,I have little to say.,I talk to a lot of different people at parties.,I don't like to draw attention to myself.,I don't mind being the center of attention.,I am quiet around strangers.,I get stressed out easily.,I am relaxed most of the time.,I worry about things.,I seldom feel blue.,I am easily disturbed.,I get upset easily.,I change my mood a lot.,I have frequent mood swings.,I get irritated easily.,I often feel blue.,I feel little concern for others.,I am interested in people.,I insult people.,I sympathize with others' feelings.,I am not interested in other people's problems.,I have a soft heart.,I am not really interested in others.,I take time out for others.,I feel others' emotions.,I make people feel at ease.,I am always prepared.,I leave my belongings around.,I pay attention to details.,I make a mess of things.,I get chores done right away.,I often forget to put things back in their proper place.,I like order.,I shirk my duties.,I follow a schedule.,I am exacting in my work.,I have a rich vocabulary.,I have difficulty understanding abstract ideas.,I have a vivid imagination.,I am not interested in abstract ideas.,I have excellent ideas.,I do not have a good imagination.,I am quick to understand things.,I use difficult words.,I spend time reflecting on things.,I am full of ideas.
1.0,0.19845481,0.45148015,0.20984289,0.34901112,0.16683267,0.6129433,0.20963153,0.53696084,0.1801872,0.35440153,0.3324817,0.18690401,0.12686753,0.41378647,0.36457798,0.40186974,0.34362814,0.34055308,0.17968674,0.24642415,0.38679796,0.3652217,0.2667223,0.18677594,0.28196523,0.24189061,0.34662494,0.33575645,0.4530828,0.23739554,0.19102743,0.23901737,0.42222106,0.181126,0.19155893,0.27933288,0.28521296,0.29663053,0.245306,0.36137855,0.035552662,0.3631128,0.083050095,0.2748883,0.15103135,0.26249215,0.18490025,0.2673537,0.35424128
0.19845481,1.0,0.3835294,0.4958318,0.42181942,0.6814685,0.42741513,0.5866423,0.35835302,0.5826052,0.3405875,0.5602641,0.43530157,0.4262216,0.34479508,0.29763526,0.4875357,0.4044797,0.32866082,0.3948747,0.46984884,0.39429706,0.23419839,0.2791726,0.36655664,0.42170483,0.5953868,0.4878108,0.2908109,0.40096256,0.028646093,0.42179364,0.28636983,0.30187318,0.10226797,0.32549733,0.275892,0.39753255,0.31757137,0.20591198,0.25895324,0.3400714,0.2002295,0.46443942,0.048448503,0.52617735,0.21104914,0.36630633,0.44852966,0.22303444
0.45148015,0.3835294,1.0,0.3205909,0.39124987,0.266368,0.5260757,0.31104085,0.6482798,0.5517262,0.3365012,0.6994489,0.22502625,0.3476028,0.34516305,0.27660078,0.34694478,0.31972694,0.3043625,0.35446122,0.38228896,0.43917796,0.16921718,0.3843205,0.18214522,0.53228915,0.3227766,0.47550425,0.43724382,0.867652,0.17544192,0.26471287,0.12917921,0.19389667,0.1863061,0.19595326,0.43529147,0.21365303,0.26216957,0.035496596,0.37235194,0.06465268,0.24598779,0.1198644,0.19264671,0.1296102,0.38047746,0.12833878,0.34119087,0.23355484
0.20984289,0.4958318,0.3205909,1.0,0.20991763,0.3926021,0.22142316,0.55893964,0.41518605,0.6783157,0.14971992,0.5228601,0.36469764,0.43465728,0.2237159,0.13544634,0.28569692,0.2651247,0.1630684,0.2790917,0.46166423,0.25245303,0.1736061,0.22191793,0.39219218,0.3677995,0.43591717,0.4284323,0.21694039,0.35715398,0.2614788,0.48456183,0.35641888,0.1796192,0.04902219,0.28804684,0.23811457,0.52838296,0.29084614,0.21784762,0.15570915,0.16421586,0.20105371,0.2548599,0.124372825,0.20351246,0.17747907,0.11010746,0.39252123,0.1534327
0.34901112,0.42181942,0.39124987,0.20991763,1.0,0.37227732,0.56014377,0.2604236,0.3443244,0.29269055,0.31123412,0.31032446,0.39708394,0.09727875,0.4128612,0.36542153,0.4016692,0.30946305,0.38518685,0.25154948,0.23420598,0.47426078,0.36828765,0.33257943,0.21006516,0.28005734,0.28973848,0.3449883,0.35425073,0.4657628,0.08811603,0.11585553,0.3000386,0.37185785,0.24973187,0.24951679,0.29639235,0.24834217,0.32277137,0.23181997,0.41818613,0.33079064,0.35195634,0.3548689,0.36324838,0.27539545,0.40806365,0.35905662,0.4192316,0.49888375
0.16683267,0.6814685,0.266368,0.3926021,0.37227732,1.0,0.24790555,0.3953592,0.23390625,0.38725904,0.23533395,0.36646453,0.42503333,0.37072417,0.29790196,0.25774035,0.28117144,0.23958768,0.263274,0.3364846,0.550265,0.3409839,0.22028422,0.3191288,0.33662534,0.395049,0.5355,0.2905839,0.3107703,0.29164466,-0.0197009,0.34156,0.19938795,0.27349186,0.10860435,0.2660825,0.19936301,0.3671406,0.1939783,0.12913994,0.16504931,0.3257466,0.20147046,0.43722367,0.11935024,0.5154885,0.20281184,0.2809673,0.38168225,0.26784486
0.6129433,0.42741513,0.5260757,0.22142316,0.56014377,0.24790555,1.0,0.32614815,0.4946418,0.33859915,0.37305444,0.38666695,0.30910656,0.099635355,0.43715405,0.36976603,0.5289833,0.41270012,0.3868513,0.30668917,0.18948427,0.6091025,0.37050658,0.3569701,0.17723589,0.2504659,0.32709008,0.44059476,0.40801084,0.54101795,0.11256237,0.18459779,0.32239857,0.40094638,0.038687535,0.2504496,0.31427315,0.15363915,0.230507,0.19728698,0.4383672,0.215665,0.3276866,0.24743254,0.26661924,0.21374458,0.2881631,0.32757753,0.40525264,0.4354715
0.20963153,0.5866423,0.31104085,0.55893964,0.2604236,0.3953592,0.32614815,1.0,0.40226185,0.60129744,0.34972975,0.3222692,0.46094742,0.41802606,0.37201115,0.326768,0.34682357,0.31924954,0.35176775,0.32135603,0.52174026,0.35022086,0.35844767,0.2744636,0.53727734,0.30060118,0.54224885,0.37001118,0.3194041,0.353042,0.15817836,0.23003873,0.31670883,0.2641257,0.034377806,0.2939447,0.27935115,0.46527207,0.2516462,0.30994323,0.09807079,0.2805194,0.12229008,0.39935058,-0.0025886185,0.34683722,0.15076208,0.32489207,0.3516297,0.098448
0.53696084,0.35835302,0.6482798,0.41518605,0.3443244,0.23390625,0.4946418,0.40226185,1.0,0.38651088,0.3539751,0.61936474,0.23431316,0.2162708,0.44947812,0.3479805,0.4213775,0.34736928,0.38338783,0.2334195,0.43753225,0.43438458,0.28030893,0.3295351,0.32354486,0.45027936,0.3802129,0.47560835,0.40385467,0.66370165,0.30293477,0.2630903,0.32746166,0.2149772,0.26222983,0.20304337,0.41411737,0.3620911,0.35256824,0.20969905,0.38858542,0.09057368,0.3729754,0.17978966,0.2972848,0.10508856,0.462631,0.099601336,0.3718963,0.31470934
0.1801872,0.5826052,0.5517262,0.6783157,0.29269055,0.38725904,0.33859915,0.60129744,0.38651088,1.0,0.18423216,0.57394326,0.29682872,0.4418109,0.26361316,0.16190681,0.294816,0.25587386,0.1571295,0.23532988,0.53397405,0.34144187,0.17656907,0.23713735,0.43586585,0.40268716,0.48418197,0.44756928,0.29239005,0.5289576,0.12285323,0.35686043,0.21796474,0.105847456,0.0664416,0.19580713,0.25890404,0.43412736,0.19100773,0.10882456,0.1869254,0.16216792,0.11096648,0.26870418,0.0005189066,0.21389723,0.19235454,0.15262654,0.35967913,0.08284744
0.35440153,0.3405875,0.3365012,0.14971992,0.31123412,0.23533395,0.37305444,0.34972975,0.3539751,0.18423216,1.0,0.45784074,0.44119552,0.26461402,0.79355836,0.8717176,0.6433254,0.7491138,0.84617805,0.4756882,0.39104554,0.26035082,0.43992218,0.3200631,0.27774352,0.29622725,0.35063618,0.39371246,0.40374646,0.37188265,0.16982336,0.22466892,0.17678495,0.54849094,0.3209128,0.43136412,0.16500844,0.36341745,0.33466768,0.28924668,0.2707097,0.26495388,0.3624643,0.28891733,0.12553728,0.33524987,0.3737258,0.32957563,0.36857894,0.274799
0.3324817,0.5602641,0.6994489,0.5228601,0.31032446,0.36646453,0.38666695,0.3222692,0.61936474,0.57394326,0.45784074,1.0,0.2832059,0.46908906,0.457237,0.37705052,0.4812695,0.501782,0.4240024,0.4140262,0.4873743,0.31639215,0.19166583,0.3105227,0.28089187,0.5559349,0.44457334,0.6243167,0.31035596,0.65371186,0.22671181,0.43742654,0.22575605,0.27517757,0.23073235,0.28356528,0.37552568,0.41262174,0.3914982,0.16372102,0.37076855,0.14186294,0.29776213,0.263167,0.21119964,0.22613798,0.39935717,0.12539108,0.52457845,0.28482336
0.18690401,0.43530157,0.22502625,0.36469764,0.39708394,0.42503333,0.30910656,0.46094742,0.23431316,0.29682872,0.44119552,0.2832059,1.0,0.2955209,0.4684717,0.4130122,0.44698414,0.46742228,0.393979,0.4779623,0.5353421,0.39913112,0.28007618,0.5609287,0.33705425,0.29220966,0.42250362,0.3744379,0.49938613,0.25631,0.18720402,0.2316099,0.52058977,0.37984392,0.05854409,0.42464447,0.22265385,0.331147,0.35383195,0.4182648,0.13295826,0.41195786,0.3045931,0.39789468,0.17066261,0.4546284,0.2515057,0.33358136,0.61452943,0.2952973
0.12686753,0.4262216,0.3476028,0.43465728,0.09727875,0.37072417,0.099635355,0.41802606,0.2162708,0.4418109,0.26461402,0.46908906,0.2955209,1.0,0.25617418,0.20856272,0.2897803,0.31190702,0.27389252,0.53983563,0.46384788,0.13336195,0.08781695,0.15681556,0.2867931,0.432086,0.34786165,0.25491038,0.14953238,0.27722448,0.17677268,0.2484384,0.10337194,0.0939363,0.13074493,0.17157623,0.16743065,0.33141682,0.15698177,0.11805824,0.10584659,0.13750027,0.18284291,0.24527402,0.08888675,0.29984576,0.137371,0.09192,0.23073614,0.100171655
0.41378647,0.34479508,0.34516305,0.2237159,0.4128612,0.29790196,0.43715405,0.37201115,0.44947812,0.26361316,0.79355836,0.457237,0.4684717,0.25617418,1.0,0.8584859,0.67451006,0.7370787,0.8647999,0.5033436,0.3922077,0.36307135,0.5736973,0.35708553,0.258029,0.35729045,0.3629133,0.38452333,0.4366512,0.3772341,0.17270884,0.26317975,0.2731876,0.61845237,0.27920857,0.42513,0.25974125,0.39316365,0.3395532,0.3292641,0.3725807,0.31847858,0.5254778,0.34956527,0.21125107,0.3493846,0.45043778,0.36717913,0.431849,0.39119568
0.36457798,0.29763526,0.27660078,0.13544634,0.36542153,0.25774035,0.36976603,0.326768,0.3479805,0.16190681,0.8717176,0.37705052,0.4130122,0.20856272,0.8584859,1.0,0.6178596,0.6842276,0.93257433,0.44072795,0.38092762,0.26128587,0.61815387,0.35130587,0.29996476,0.30453295,0.33008602,0.33753318,0.43816957,0.33590958,0.14337313,0.20881519,0.1583352,0.61221844,0.3752069,0.42155555,0.18745641,0.3880152,0.304789,0.25660118,0.28172496,0.2165272,0.386376,0.25939482,0.1305111,0.3032071,0.41305745,0.31526923,0.3115073,0.26603153
0.40186974,0.4875357,0.34694478,0.28569692,0.4016692,0.28117144,0.5289833,0.34682357,0.4213775,0.294816,0.6433254,0.4812695,0.44698414,0.2897803,0.67451006,0.6178596,1.0,0.8347455,0.616131,0.49770185,0.3329963,0.40836644,0.39834777,0.36068118,0.24250594,0.32915044,0.36100098,0.5225259,0.47180152,0.41550246,0.13945633,0.29370695,0.3316339,0.5272516,0.19451904,0.4313775,0.30754253,0.3257392,0.36754134,0.29066318,0.4299124,0.25053707,0.4768131,0.2946198,0.24218063,0.33762828,0.38587576,0.38916236,0.554887,0.41065535
0.34362814,0.4044797,0.31972694,0.2651247,0.30946305,0.23958768,0.41270012,0.31924954,0.34736928,0.25587386,0.7491138,0.501782,0.46742228,0.31190702,0.7370787,0.6842276,0.8347455,1.0,0.68929416,0.5693765,0.3613708,0.35524505,0.39579958,0.38812745,0.231244,0.3137315,0.36263034,0.5039842,0.47156146,0.3498313,0.1386533,0.2567551,0.2715566,0.50243026,0.15263131,0.39321974,0.25925142,0.33693594,0.37148306,0.3017249,0.3376039,0.29348734,0.46302772,0.29791778,0.16641587,0.36510304,0.3090679,0.36576676,0.545607,0.33188382
0.34055308,0.32866082,0.3043625,0.1630684,0.38518685,0.263274,0.3868513,0.35176775,0.38338783,0.1571295,0.84617805,0.4240024,0.393979,0.27389252,0.8647999,0.93257433,0.616131,0.68929416,1.0,0.5013961,0.35440224,0.27678958,0.62537795,0.31155375,0.24821085,0.28477034,0.31881797,0.3567289,0.3803429,0.3553389,0.15244977,0.2003256,0.1848598,0.5836735,0.3694414,0.403631,0.21180429,0.37760806,0.33316308,0.33542457,0.2829796,0.25927463,0.39385659,0.28550777,0.14973561,0.32097995,0.42096493,0.3132746,0.33560774,0.29136238
0.17968674,0.3948747,0.35446122,0.2790917,0.25154948,0.3364846,0.30668917,0.32135603,0.2334195,0.23532988,0.4756882,0.4140262,0.4779623,0.53983563,0.5033436,0.44072795,0.49770185,0.5693765,0.5013961,1.0,0.33095124,0.27808538,0.2765939,0.44882438,0.10986691,0.44708255,0.27926755,0.39487424,0.47695202,0.31998697,0.08348997,0.22747305,0.2080415,0.35474154,0.052309435,0.31253052,0.17845552,0.2606455,0.22564724,0.23613691,0.18646803,0.29307333,0.3672761,0.22918347,0.09693732,0.36621597,0.21280046,0.31299916,0.464547,0.23926358
0.24642415,0.46984884,0.38228896,0.46166423,0.23420598,0.550265,0.18948427,0.52174026,0.43753225,0.53397405,0.39104554,0.4873743,0.5353421,0.46384788,0.3922077,0.38092762,0.3329963,0.3613708,0.35440224,0.33095124,1.0,0.3141325,0.28790817,0.47835472,0.74145305,0.3694811,0.7300331,0.44228867,0.48021063,0.4215305,0.021899521,0.31542692,0.21032164,0.23924458,0.17186023,0.32874233,0.18074562,0.5631755,0.2255473,0.14233206,0.026681654,0.24423961,0.17452794,0.44654527,0.021634197,0.31855837,0.23607436,0.060730442,0.44403774,0.07764397
0.38679796,0.39429706,0.43917796,0.25245303,0.47426078,0.3409839,0.6091025,0.35022086,0.43438458,0.34144187,0.26035082,0.31639215,0.39913112,0.13336195,0.36307135,0.26128587,0.40836644,0.35524505,0.27678958,0.27808538,0.3141325,1.0,0.29221836,0.40342346,0.3346066,0.33768,0.5311131,0.45110264,0.45700893,0.49045828,0.10200686,0.16368999,0.38796425,0.23900674,0.10208549,0.22310962,0.3359154,0.22305918,0.29399988,0.28796238,0.36510462,0.2532095,0.39153287,0.36505675,0.2654856,0.33464983,0.35829553,0.31129897,0.43770677,0.4278275
