I am the life of the party.,I don't talk a lot.,I feel comfortable around people.,I keep in the background.,I start conversations.,I have little to say.,I talk to a lot of different people at parties.,I don't like to draw attention to myself.,I don't mind being the center of attention.,I am quiet around strangers.,I get stressed out easily.,I am relaxed most of the time.,I worry about things.,I seldom feel blue.,I am easily disturbed.,I get upset easily.,I change my mood a lot.,I have frequent mood swings.,I get irritated easily.,I often feel blue.,I feel little concern for others.,I am interested in people.,I insult people.,I sympathize with others' feelings.,I am not interested in other people's problems.,I have a soft heart.,I am not really interested in others.,I take time out for others.,I feel others' emotions.,I make people feel at ease.,I am always prepared.,I leave my belongings around.,I pay attention to details.,I make a mess of things.,I get chores done right away.,I often forget to put things back in their proper place.,I like order.,I shirk my duties.,I follow a schedule.,I am exacting in my work.,I have a rich vocabulary.,I have difficulty understanding abstract ideas.,I have a vivid imagination.,I am not interested in abstract ideas.,I have excellent ideas.,I do not have a good imagination.,I am quick to understand things.,I use difficult words.,I spend time reflecting on things.,I am full of ideas.
1.0,0.47596425,0.45319477,0.560366,0.4716137,0.40816447,0.68301445,0.48762995,0.5698816,0.47611898,0.08317891,0.12153603,0.11931272,0.13300638,0.068543606,0.046777833,0.04932869,0.049076356,0.038283538,0.1673507,0.047319934,0.18824962,0.025848944,0.0827837,0.089389116,0.04753333,0.16489412,0.10720551,0.10049684,0.2798193,0.019514197,0.02784836,0.00940892,0.06867036,0.056405127,0.04718338,0.03948593,0.011642969,0.035690796,0.014314672,0.055970334,0.035577092,0.12248247,0.022012828,0.20782727,0.109529674,0.073526986,0.049116496,0.068541124,0.21468459
0.47596425,1.0,0.46161368,0.6159598,0.53437936,0.65328,0.46346453,0.52751017,0.4865628,0.5870541,0.04461128,0.04406004,0.06819408,0.11447116,0.06322349,0.02752079,0.06083037,0.06620351,0.046738707,0.17373228,0.11211813,0.31363615,0.06757887,0.101125926,0.17930923,0.065993436,0.30151883,0.17756106,0.13534723,0.18752873,0.0014883133,0.04410206,0.008945919,0.0839195,0.032229215,0.06173286,0.05685296,0.057023317,0.049971346,0.014955634,0.07561439,0.04769253,0.1083648,0.02965951,0.1439649,0.10511285,0.06280058,0.01621967,0.104628734,0.13619602
0.45319477,0.46161368,1.0,0.4635164,0.58026576,0.43538144,0.61418957,0.33912545,0.48252922,0.5522368,0.24084215,0.27971828,0.19974017,0.3156586,0.20626457,0.21771649,0.20932455,0.28946555,0.2447865,0.43182984,0.1326068,0.46490973,0.11604171,0.20013426,0.1902073,0.09838829,0.37192863,0.29182512,0.1605913,0.44658133,0.093406886,0.029851615,0.05068911,0.19631085,0.112823024,0.067416534,0.030994743,0.17758234,0.11524444,0.08220134,0.04436042,0.046221904,0.05175694,0.007300943,0.15977916,0.068515,0.114252776,0.05208729,0.08812084,0.1428405
0.560366,0.6159598,0.4635164,1.0,0.5093734,0.5491436,0.49754015,0.56777126,0.5322559,0.60833037,0.1513089,0.09484598,0.15780269,0.17773598,0.10032947,0.0606474,0.08779213,0.11294404,0.06222611,0.26519653,0.0837363,0.22336644,0.036955196,0.035975665,0.08901671,0.03649175,0.20270295,0.105103225,0.02995754,0.1944658,0.07171295,0.03604668,0.021466687,0.12535957,0.09926202,0.04813671,0.076402366,0.12228415,0.025069352,0.0356515,0.0659532,0.096132345,0.03304629,0.034975123,0.1807096,0.10431179,0.07608986,-0.0073823533,0.083385,0.14157498
0.4716137,0.53437936,0.58026576,0.5093734,1.0,0.46011537,0.55496186,0.37019935,0.4430042,0.47116083,0.112541325,0.13289352,0.1071275,0.1548642,0.11124559,0.09761114,0.110526055,0.14344819,0.11992952,0.2496206,0.111167334,0.33254072,0.13112359,0.18837559,0.17702606,0.12874666,0.2667271,0.27217352,0.19259997,0.46727186,0.04805545,0.03933098,0.087779,0.12976542,0.102404,0.039546523,0.05842326,0.117089644,0.09961092,0.043428466,0.06159691,0.052242067,0.12116159,0.027361242,0.28015497,0.09277362,0.09685674,0.045019656,0.079083644,0.22078371
0.40816447,0.65328,0.43538144,0.5491436,0.46011537,1.0,0.39741197,0.40808344,0.38068378,0.44821927,0.058383826,0.046843816,0.04620305,0.10055075,0.098002076,0.032022104,0.036465015,0.06443967,0.04027284,0.16714323,0.11442843,0.29353538,0.050161052,0.13729121,0.14385815,0.0472656,0.3125075,0.17539057,0.13367943,0.20902066,0.025435463,-0.009567264,0.015619476,0.038675316,0.008372388,-0.01666991,-0.011010169,0.06185012,0.0262418,0.016503382,0.16350166,0.17171809,0.14807148,0.120438956,0.2699498,0.217603,0.14785089,0.08223821,0.060668413,0.27849227
0.68301445,0.46346453,0.61418957,0.49754015,0.55496186,0.39741197,1.0,0.3863646,0.41568014,0.4709998,0.13554981,0.14404058,0.16754311,0.16301748,0.09609854,0.073763914,0.103030436,0.095141955,0.094877504,0.22192347,0.10216045,0.35525957,0.057497744,0.13788375,0.14292817,0.07765607,0.26628137,0.23137476,0.15788597,0.3211122,0.029878765,-0.012780691,0.031594872,0.10371537,0.08336581,0.03121076,0.061724104,0.08414986,0.066899456,0.009264695,0.018137213,-0.018100906,0.07050399,-0.030292235,0.121567935,0.031233562,0.044803236,0.014622666,0.105068855,0.11827314
0.48762995,0.52751017,0.33912545,0.56777126,0.37019935,0.40808344,0.3863646,1.0,0.64348793,0.3807213,0.09001806,0.041145656,0.108196825,0.13186984,0.06871509,0.006081776,0.022488907,0.035524886,0.039613187,0.15899639,0.016192729,0.19083971,0.083457746,0.017459754,0.06568237,0.020061607,0.15613702,0.043537486,0.056231435,0.10618715,0.00992639,0.0634581,0.013301704,0.03523658,0.036670372,0.04926257,0.1280179,0.023541348,0.053213682,0.030019192,0.05872832,0.08546816,0.062123895,0.044744756,0.1315096,0.10186409,0.049244817,0.05338245,0.02322554,0.1288561
0.5698816,0.4865628,0.48252922,0.5322559,0.4430042,0.38068378,0.41568014,0.64348793,1.0,0.41643444,0.10419597,0.14781341,0.09393342,0.1212576,0.045563433,0.024820944,0.034322295,0.049194824,0.033010505,0.1601518,-0.0067673377,0.20293157,0.07348263,0.054972276,0.045252036,0.039121713,0.12899835,0.06857951,0.06724365,0.23055367,-0.0015059037,0.04568874,0.02242246,0.02819143,0.050599694,0.029044408,0.042121027,0.043492705,0.02537132,0.007931711,0.12747681,0.11319083,0.09807352,0.053064417,0.21760452,0.11148275,0.09585975,0.11680977,0.018346468,0.16745225
0.47611898,0.5870541,0.5522368,0.60833037,0.47116083,0.44821927,0.4709998,0.3807213,0.41643444,1.0,0.1765021,0.1150685,0.1814401,0.1342351,0.15691607,0.11252638,0.15281229,0.18348484,0.13175166,0.27906233,0.080273695,0.25425553,0.056282382,0.03767987,0.14319246,0.03187109,0.22091755,0.12141305,0.06355422,0.2308576,0.043973118,0.053960666,-0.018165292,0.14054136,0.069715135,0.07563015,0.05922938,0.11911722,0.04444481,0.04304715,0.073576696,0.07385381,0.06898388,0.033522118,0.14914706,0.0956905,0.071611136,0.049245276,0.0897262,0.14418977
