when feeling depressed I Couldn't seem to experience any positive feeling at all,when feeling depressed I Found it difficult to work up the initiative to do things,when feeling depressed I Felt that I had nothing to look forward to,when feeling depressed I Felt down-hearted and blue,when feeling depressed I was Unable to become enthusiastic about anything,when feeling depressed I Felt I wasn't worth much as a person,when feeling depressed I Felt that life was meaningless,when feeling anxious I Aware of dryness of my mouth,"when feeling anxious I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","when feeling anxious I Experienced trembling (e.g., in the hands)",when feeling anxious I Worried about situations in which I might panic and make a fool of myself,when feeling anxious I Felt I was close to panic,"when feeling anxious I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",when feeling anxious I Felt scared without any good reason,when feeling anxious I Found it hard to wind down,when feeling stressed I Tended to over-react to situations,when feeling stressed I Felt that I was using a lot of nervous energy,when feeling stressed I Found myself getting agitated,when feeling stressed I Found it difficult to relax,when feeling stressed I was intolerant of anything that kept me from getting on with what I was doing,when feeling stressed I Felt that I was rather touchy
1.0,0.92694694,0.94751614,0.93694144,0.9378251,0.93270606,0.90830785,0.2892681,0.3947456,0.32417765,0.3931245,0.3635955,0.3778317,0.3969622,0.59721744,0.51290846,0.5144332,0.5146081,0.5805008,0.5284054,0.5362038
0.92694694,1.0,0.92144024,0.9347273,0.9255814,0.927906,0.8998915,0.2518845,0.37161773,0.30549896,0.3893807,0.33276793,0.3429232,0.34138602,0.6032909,0.5215207,0.49928784,0.51119006,0.5859341,0.54399186,0.5212774
0.94751614,0.92144024,1.0,0.933868,0.92030805,0.9369367,0.9343032,0.29080465,0.37526688,0.31552523,0.4150543,0.37576845,0.37044796,0.4092866,0.5548578,0.49624544,0.48760158,0.4717017,0.5343606,0.51689684,0.50384617
0.93694144,0.9347273,0.933868,1.0,0.9078887,0.9521721,0.92989534,0.26148129,0.36499524,0.30360982,0.3671809,0.34473768,0.34763592,0.3542879,0.58263206,0.5027761,0.4941189,0.49633202,0.55639225,0.5031289,0.5208638
0.9378251,0.9255814,0.92030805,0.9078887,1.0,0.90347165,0.8813738,0.3009459,0.3984162,0.33618468,0.41931015,0.3750821,0.3768306,0.4013746,0.59096384,0.54374725,0.53106016,0.5248025,0.5817963,0.5695939,0.5524841
0.93270606,0.927906,0.9369367,0.9521721,0.90347165,1.0,0.9493353,0.2250525,0.30406252,0.25934726,0.34334603,0.3006426,0.28502485,0.3147742,0.5065791,0.4419523,0.42870012,0.42382133,0.4822767,0.44309974,0.45443735
0.90830785,0.8998915,0.9343032,0.92989534,0.8813738,0.9493353,1.0,0.21524991,0.31317118,0.2462361,0.31090647,0.2894304,0.29554018,0.32014176,0.5001081,0.41818798,0.41149506,0.4045721,0.4755309,0.42438975,0.42391312
0.2892681,0.2518845,0.29080465,0.26148129,0.3009459,0.2250525,0.21524991,1.0,0.8332926,0.80633277,0.7973298,0.83343166,0.70777386,0.82008296,0.5407434,0.5746172,0.61338335,0.544907,0.5425226,0.55350333,0.58054566
0.3947456,0.37161773,0.37526688,0.36499524,0.3984162,0.30406252,0.31317118,0.8332926,1.0,0.8090218,0.79267657,0.8395079,0.8553375,0.8131376,0.61051565,0.62868875,0.69229,0.6236958,0.6353032,0.6285966,0.61974216
0.32417765,0.30549896,0.31552523,0.30360982,0.33618468,0.25934726,0.2462361,0.80633277,0.8090218,1.0,0.8379996,0.88475704,0.7429461,0.8552413,0.5687386,0.63591516,0.6545076,0.5872974,0.57611835,0.56379616,0.61288726
0.3931245,0.3893807,0.4150543,0.3671809,0.41931015,0.34334603,0.31090647,0.7973298,0.79267657,0.8379996,1.0,0.92693347,0.74504524,0.8862456,0.5692575,0.6809302,0.67057896,0.6075327,0.5871152,0.615513,0.61810553
