Couldn't seem to experience any positive feeling at all,Found it difficult to work up the initiative to do things,Felt that I had nothing to look forward to,Felt down-hearted and blue,Unable to become enthusiastic about anything,Felt I wasn't worth much as a person,Felt that life was meaningless,Aware of dryness of my mouth,"Experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","Experienced trembling (e.g., in the hands)",Worried about situations in which I might panic and make a fool of myself,Felt I was close to panic,"Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",Felt scared without any good reason,Found it hard to wind down,Tended to over-react to situations,Felt that I was using a lot of nervous energy,Found myself getting agitated,Found it difficult to relax,Intolerant of anything that kept me from getting on with what I was doing,Felt that I was rather touchy
1.0,0.850964,0.90808916,0.85586774,0.8864146,0.8781776,0.8777056,0.79793435,0.8040589,0.7935871,0.8124182,0.865954,0.80715,0.90040404,0.8554561,0.8327131,0.8571754,0.842882,0.87376344,0.84697384,0.8525826
0.850964,1.0,0.856418,0.8183779,0.8524985,0.84169805,0.8422894,0.7836762,0.7827679,0.7848248,0.82362103,0.83559036,0.7892926,0.8262255,0.8954886,0.8530013,0.84448946,0.83854914,0.88584405,0.8629307,0.8365537
0.90808916,0.856418,1.0,0.85266536,0.8894707,0.9066734,0.9084571,0.81091446,0.7838725,0.7783827,0.83102834,0.87831026,0.8010365,0.8843523,0.8668264,0.8434211,0.8555319,0.847292,0.8799159,0.87624335,0.8602323
0.85586774,0.8183779,0.85266536,1.0,0.8410352,0.8649884,0.8679385,0.82673174,0.78781176,0.80947065,0.82991576,0.8664189,0.8061491,0.8612873,0.8724227,0.83746016,0.8572041,0.8505583,0.8637451,0.81152326,0.8626819
0.8864146,0.8524985,0.8894707,0.8410352,1.0,0.8511518,0.85786813,0.8166461,0.80387634,0.8054746,0.83687973,0.84020406,0.80989933,0.857642,0.84131587,0.860809,0.828869,0.8453794,0.8515392,0.88371223,0.8194733
0.8781776,0.84169805,0.9066734,0.8649884,0.8511518,1.0,0.90599185,0.81501406,0.78609806,0.7833359,0.8350568,0.87277067,0.8027383,0.8707755,0.86473584,0.83281505,0.87694556,0.8516755,0.86806166,0.85085326,0.88992363
0.8777056,0.8422894,0.9084571,0.8679385,0.85786813,0.90599185,1.0,0.81125426,0.8089189,0.79412,0.8177568,0.87530684,0.81859547,0.89044064,0.86558825,0.8308826,0.8601895,0.84634304,0.8701669,0.8463367,0.86325634
0.79793435,0.7836762,0.81091446,0.82673174,0.8166461,0.81501406,0.81125426,1.0,0.80095494,0.8197286,0.8356888,0.8425335,0.8409292,0.8100974,0.81975293,0.8175011,0.8369326,0.8351585,0.82037985,0.80966634,0.83465344
0.8040589,0.7827679,0.7838725,0.78781176,0.80387634,0.78609806,0.8089189,0.80095494,1.0,0.8728419,0.8127727,0.8128443,0.90457916,0.8154559,0.80060333,0.8114535,0.8276868,0.80233765,0.81552917,0.8023335,0.80085546
0.7935871,0.7848248,0.7783827,0.80947065,0.8054746,0.7833359,0.79412,0.8197286,0.8728419,1.0,0.8052844,0.8246337,0.84698945,0.8140646,0.80650413,0.83792686,0.8182402,0.816699,0.8156091,0.77570564,0.8340239
