Couldn't seem to experience any positive feeling at all,Found it difficult to work up the initiative to do things,Felt that I had nothing to look forward to,Felt down-hearted and blue,Unable to become enthusiastic about anything,Felt I wasn't worth much as a person,Felt that life was meaningless,Aware of dryness of my mouth,"Experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","Experienced trembling (e.g., in the hands)",Worried about situations in which I might panic and make a fool of myself,Felt I was close to panic,"Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",Felt scared without any good reason,Found it hard to wind down,Tended to over-react to situations,Felt that I was using a lot of nervous energy,Found myself getting agitated,Found it difficult to relax,Intolerant of anything that kept me from getting on with what I was doing,Felt that I was rather touchy
1.0,0.3535531,0.5999331,0.37691036,0.55513775,0.49121046,0.47113603,0.10846184,0.32867524,0.23745036,0.14314891,0.35168788,0.3258253,0.5380146,0.2844199,0.26441973,0.41998005,0.29929972,0.2841188,0.2990818,0.4784011
0.3535531,1.0,0.4459868,0.3132979,0.39968297,0.3788267,0.4279689,0.13228878,0.3179588,0.208091,0.28122577,0.34584525,0.28972146,0.32259452,0.5282185,0.37464082,0.39896026,0.4747286,0.5668522,0.4523845,0.40925324
0.5999331,0.4459868,1.0,0.43272963,0.48549336,0.603051,0.5793036,0.24293464,0.32194895,0.20849714,0.27030113,0.51598436,0.33884573,0.57581425,0.37524757,0.26937577,0.43478706,0.4766215,0.3743249,0.5016469,0.5984158
0.37691036,0.3132979,0.43272963,1.0,0.25587106,0.36726263,0.46209687,0.26316014,0.13569708,0.17965081,0.21688661,0.4535483,0.24654837,0.41536212,0.4036017,0.19254513,0.31812888,0.4011189,0.33980462,0.122388475,0.4733425
0.55513775,0.39968297,0.48549336,0.25587106,1.0,0.36155704,0.30288664,0.14185315,0.2956636,0.19212957,0.23859027,0.27483815,0.26876354,0.4568603,0.26211622,0.35272586,0.22741899,0.33020082,0.26389116,0.5274124,0.30287114
0.49121046,0.3788267,0.603051,0.36726263,0.36155704,1.0,0.5863976,0.16487835,0.29774892,0.22823007,0.21160181,0.4659733,0.30774435,0.46204087,0.32213748,0.2572737,0.48952943,0.39151493,0.34538597,0.3179748,0.64064157
0.47113603,0.4279689,0.5793036,0.46209687,0.30288664,0.5863976,1.0,0.2877262,0.3594519,0.24630837,0.20985375,0.4596394,0.3895136,0.53088737,0.38577187,0.18689623,0.4549738,0.43729523,0.42305207,0.21395381,0.5575341
0.10846184,0.13228878,0.24293464,0.26316014,0.14185315,0.16487835,0.2877262,1.0,0.2405752,0.26692963,0.22733656,0.36063433,0.2864869,0.2057703,0.3410989,0.1515695,0.24604636,0.34171218,0.2594324,0.19220227,0.33897585
0.32867524,0.3179588,0.32194895,0.13569708,0.2956636,0.29774892,0.3594519,0.2405752,1.0,0.59371513,0.26457745,0.2677447,0.6819993,0.32070133,0.33913267,0.23330392,0.30603266,0.26653165,0.39142483,0.2616762,0.2571273
0.23745036,0.208091,0.20849714,0.17965081,0.19212957,0.22823007,0.24630837,0.26692963,0.59371513,1.0,0.23512729,0.28609744,0.5350048,0.21923888,0.22431874,0.27583173,0.24542214,0.27186176,0.23378912,0.21086614,0.30646718
0.14314891,0.28122577,0.27030113,0.21688661,0.23859027,0.21160181,0.20985375,0.22733656,0.26457745,0.23512729,1.0,0.44074252,0.23473945,0.3343778,0.16204445,0.37057742,0.33107665,0.39487764,0.20230068,0.39893642,0.2927769
