Couldn't seem to experience any positive feeling at all,Found it difficult to work up the initiative to do things,Felt that I had nothing to look forward to,Felt down-hearted and blue,Unable to become enthusiastic about anything,Felt I wasn't worth much as a person,Felt that life was meaningless,Aware of dryness of my mouth,"Experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","Experienced trembling (e.g., in the hands)",Worried about situations in which I might panic and make a fool of myself,Felt I was close to panic,"Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",Felt scared without any good reason,Found it hard to wind down,Tended to over-react to situations,Felt that I was using a lot of nervous energy,Found myself getting agitated,Found it difficult to relax,Intolerant of anything that kept me from getting on with what I was doing,Felt that I was rather touchy
1.0,0.12936644,0.6269926,0.47821257,0.5965938,0.40622932,0.42781126,0.11577857,0.25372553,0.30687544,0.23871002,0.42630342,0.27451903,0.50854963,0.27268773,0.19558619,0.3138123,0.34763247,0.38358092,0.25254667,0.38790908
0.12936644,1.0,0.26804283,0.20815174,0.406338,0.28449568,0.2663298,-0.012998999,0.20404021,0.23534721,0.24309771,0.15526032,0.19627962,0.21881734,0.52259403,0.3834752,0.29173917,0.38451824,0.42074624,0.4188729,0.22475834
0.6269926,0.26804283,1.0,0.4596046,0.49027044,0.55993587,0.6183031,0.075943485,0.11828385,0.20449832,0.2810665,0.48153725,0.2693239,0.5434943,0.33360836,0.27173603,0.3560381,0.35052678,0.38976327,0.42129314,0.47413808
0.47821257,0.20815174,0.4596046,1.0,0.44454166,0.46245798,0.45680562,0.319329,0.23455708,0.46771166,0.31874248,0.51198095,0.26487163,0.5003976,0.52033925,0.4203965,0.40110585,0.53437614,0.4741674,0.40388897,0.51324296
0.5965938,0.406338,0.49027044,0.44454166,1.0,0.32731223,0.3469064,0.15021619,0.38084197,0.4044327,0.5062252,0.4315402,0.36055738,0.52000576,0.36902672,0.45588854,0.4562425,0.6311665,0.49579713,0.5174887,0.31954566
0.40622932,0.28449568,0.55993587,0.46245798,0.32731223,1.0,0.59190494,0.16832581,0.09680112,0.14547183,0.22175689,0.3148255,0.13860771,0.42428648,0.39146227,0.2902399,0.3381149,0.290235,0.29762262,0.41785175,0.5059533
0.42781126,0.2663298,0.6183031,0.45680562,0.3469064,0.59190494,1.0,0.06915795,0.30161,0.28410876,0.21078192,0.39747232,0.3121157,0.43906412,0.3862996,0.26820406,0.24689122,0.27497628,0.43156245,0.30359617,0.3803155
0.11577857,-0.012998999,0.075943485,0.319329,0.15021619,0.16832581,0.06915795,1.0,0.24663728,0.41547233,0.2622052,0.29536042,0.13305706,0.22927918,0.20856296,0.1567413,0.2941626,0.23881325,0.2755444,0.21368831,0.3925257
0.25372553,0.20404021,0.11828385,0.23455708,0.38084197,0.09680112,0.30161,0.24663728,1.0,0.52671766,0.34042352,0.32376355,0.55327946,0.28641394,0.3009433,0.2600713,0.36338717,0.35336208,0.5000823,0.18996508,0.15396692
0.30687544,0.23534721,0.20449832,0.46771166,0.4044327,0.14547183,0.28410876,0.41547233,0.52671766,1.0,0.4790517,0.5965173,0.35677955,0.47597104,0.42431542,0.31410775,0.5128332,0.65656143,0.542004,0.27662668,0.5112341
0.23871002,0.24309771,0.2810665,0.31874248,0.5062252,0.22175689,0.21078192,0.2622052,0.34042352,0.4790517,1.0,0.678954,0.28447145,0.6337574,0.21290238,0.4591668,0.5220966,0.5739638,0.46803504,0.4972823,0.35361505
0.42630342,0.15526032,0.48153725,0.51198095,0.4315402,0.3148255,0.39747232,0.29536042,0.32376355,0.5965173,0.678954,1.0,0.2773619,0.7609116,0.39790434,0.31035224,0.6809697,0.6331809,0.5466009,0.37420025,0.5831649
