Couldn't seem to experience any positive feeling at all,Found it difficult to work up the initiative to do things,Felt that I had nothing to look forward to,Felt down-hearted and blue,Unable to become enthusiastic about anything,Felt I wasn't worth much as a person,Felt that life was meaningless,Aware of dryness of my mouth,"Experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","Experienced trembling (e.g., in the hands)",Worried about situations in which I might panic and make a fool of myself,Felt I was close to panic,"Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",Felt scared without any good reason,Found it hard to wind down,Tended to over-react to situations,Felt that I was using a lot of nervous energy,Found myself getting agitated,Found it difficult to relax,Intolerant of anything that kept me from getting on with what I was doing,Felt that I was rather touchy
1.0,0.20778209,0.59119153,0.47035438,0.6087872,0.37716496,0.44254398,0.14965357,0.26289693,0.20134321,0.22652483,0.3930839,0.19954936,0.50702107,0.34354687,0.1251888,0.40024707,0.4105414,0.40751886,0.41503352,0.3145886
0.20778209,1.0,0.24477246,0.24998906,0.42089826,0.26722002,0.2591233,0.1822381,0.3147543,0.2278784,0.26801047,0.22393946,0.20537314,0.19675653,0.6425762,0.38334808,0.38294154,0.46192348,0.6294594,0.45316282,0.31004187
0.59119153,0.24477246,1.0,0.4863586,0.49012434,0.50336903,0.5542274,0.19193806,0.16456783,0.17398727,0.43384573,0.5101653,0.20097739,0.50810456,0.37756175,0.20484464,0.37153035,0.43305823,0.41255876,0.3928314,0.40897587
0.47035438,0.24998906,0.4863586,1.0,0.37516212,0.38797334,0.42968234,0.22942433,0.22254966,0.2771966,0.3147008,0.4778973,0.22416212,0.42135563,0.42448318,0.2338494,0.37256315,0.4516909,0.4053243,0.3268808,0.45382124
0.6087872,0.42089826,0.49012434,0.37516212,1.0,0.26057675,0.34913817,0.27007654,0.37310335,0.2519778,0.3560437,0.34072348,0.2815265,0.4006269,0.4284354,0.43083397,0.40433076,0.57813054,0.5001802,0.55727005,0.25425687
0.37716496,0.26722002,0.50336903,0.38797334,0.26057675,1.0,0.6754322,0.1025989,0.067662515,0.115268685,0.39793253,0.39379632,0.12853163,0.36744627,0.2797314,0.2572371,0.37816155,0.37999174,0.27614045,0.40644684,0.46910387
0.44254398,0.2591233,0.5542274,0.42968234,0.34913817,0.6754322,1.0,0.11384345,0.19097719,0.12394035,0.32507923,0.361853,0.20864412,0.3475475,0.32767248,0.25685188,0.33142206,0.3406842,0.3457119,0.38605785,0.29397154
0.14965357,0.1822381,0.19193806,0.22942433,0.27007654,0.1025989,0.11384345,1.0,0.45079377,0.28988412,0.26139238,0.2761871,0.3027355,0.251179,0.39945254,0.22953367,0.33797732,0.3488792,0.35491258,0.21453023,0.30309394
0.26289693,0.3147543,0.16456783,0.22254966,0.37310335,0.067662515,0.19097719,0.45079377,1.0,0.48554826,0.32405886,0.3298814,0.5541128,0.3436362,0.37076312,0.30997914,0.43881652,0.32880536,0.49254844,0.26577082,0.17646469
0.20134321,0.2278784,0.17398727,0.2771966,0.2519778,0.115268685,0.12394035,0.28988412,0.48554826,1.0,0.4182332,0.42604804,0.33280563,0.4475395,0.27987906,0.3280422,0.40724644,0.37080207,0.35827243,0.22277482,0.45189917
0.22652483,0.26801047,0.43384573,0.3147008,0.3560437,0.39793253,0.32507923,0.26139238,0.32405886,0.4182332,1.0,0.77882755,0.2704893,0.6290467,0.30061784,0.5582042,0.49225584,0.5583718,0.45016167,0.4593736,0.5140346
0.3930839,0.22393946,0.5101653,0.4778973,0.34072348,0.39379632,0.361853,0.2761871,0.3298814,0.42604804,0.77882755,1.0,0.2765093,0.7313691,0.38832825,0.3935976,0.6005936,0.631465,0.48429036,0.41807282,0.61058104
0.19954936,0.20537314,0.20097739,0.22416212,0.2815265,0.12853163,0.20864412,0.3027355,0.5541128,0.33280563,0.2704893,0.2765093,1.0,0.24927194,0.19188341,0.25335807,0.483374,0.27752066,0.33412266,0.21296081,0.1843001
0.50702107,0.19675653,0.50810456,0.42135563,0.4006269,0.36744627,0.3475475,0.251179,0.3436362,0.4475395,0.6290467,0.7313691,0.24927194,1.0,0.30650112,0.3121517,0.50940746,0.5041969,0.4230857,0.42467284,0.53742135
0.34354687,0.6425762,0.37756175,0.42448318,0.4284354,0.2797314,0.32767248,0.39945254,0.37076312,0.27987906,0.30061784,0.38832825,0.19188341,0.30650112,1.0,0.3891182,0.49451345,0.56846696,0.7503926,0.512842,0.4525134
0.1251888,0.38334808,0.20484464,0.2338494,0.43083397,0.2572371,0.25685188,0.22953367,0.30997914,0.3280422,0.5582042,0.3935976,0.25335807,0.3121517,0.3891182,1.0,0.3557908,0.50746876,0.44164595,0.39594942,0.39145073
0.40024707,0.38294154,0.37153035,0.37256315,0.40433076,0.37816155,0.33142206,0.33797732,0.43881652,0.40724644,0.49225584,0.6005936,0.483374,0.50940746,0.49451345,0.3557908,1.0,0.6429401,0.6096312,0.44331637,0.53634495
0.4105414,0.46192348,0.43305823,0.4516909,0.57813054,0.37999174,0.3406842,0.3488792,0.32880536,0.37080207,0.5583718,0.631465,0.27752066,0.5041969,0.56846696,0.50746876,0.6429401,1.0,0.6512753,0.602559,0.6303207
0.40751886,0.6294594,0.41255876,0.4053243,0.5001802,0.27614045,0.3457119,0.35491258,0.49254844,0.35827243,0.45016167,0.48429036,0.33412266,0.4230857,0.7503926,0.44164595,0.6096312,0.6512753,1.0,0.5645628,0.48889035
0.41503352,0.45316282,0.3928314,0.3268808,0.55727005,0.40644684,0.38605785,0.21453023,0.26577082,0.22277482,0.4593736,0.41807282,0.21296081,0.42467284,0.512842,0.39594942,0.44331637,0.602559,0.5645628,1.0,0.3851541
0.3145886,0.31004187,0.40897587,0.45382124,0.25425687,0.46910387,0.29397154,0.30309394,0.17646469,0.45189917,0.5140346,0.61058104,0.1843001,0.53742135,0.4525134,0.39145073,0.53634495,0.6303207,0.48889035,0.3851541,1.0
