when feeling depressed I Couldn't seem to experience any positive feeling at all,when feeling depressed I Found it difficult to work up the initiative to do things,when feeling depressed I Felt that I had nothing to look forward to,when feeling depressed I Felt down-hearted and blue,when feeling depressed I was Unable to become enthusiastic about anything,when feeling depressed I Felt I wasn't worth much as a person,when feeling depressed I Felt that life was meaningless,when feeling anxious I Aware of dryness of my mouth,"when feeling anxious I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","when feeling anxious I Experienced trembling (e.g., in the hands)",when feeling anxious I Worried about situations in which I might panic and make a fool of myself,when feeling anxious I Felt I was close to panic,"when feeling anxious I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",when feeling anxious I Felt scared without any good reason,when feeling anxious I Found it hard to wind down,when feeling stressed I Tended to over-react to situations,when feeling stressed I Felt that I was using a lot of nervous energy,when feeling stressed I Found myself getting agitated,when feeling stressed I Found it difficult to relax,when feeling stressed I was intolerant of anything that kept me from getting on with what I was doing,when feeling stressed I Felt that I was rather touchy
1.0,0.7909658,0.82093936,0.87778515,0.7569353,0.8131555,0.8136942,0.26226375,0.26545826,0.2344225,0.2830341,0.30375114,0.19651648,0.3313507,0.31479177,0.27939335,0.3179482,0.30651763,0.29874483,0.2953361,0.2448082
0.7909658,1.0,0.80443513,0.7866158,0.75305283,0.78298765,0.8103333,0.19704828,0.17668009,0.15529564,0.21207793,0.21037662,0.14998539,0.20348823,0.22787277,0.1822417,0.1776772,0.19570212,0.19275242,0.19441243,0.13947576
0.82093936,0.80443513,1.0,0.8520107,0.7444182,0.81950575,0.8594123,0.2470304,0.23172235,0.19543976,0.2652133,0.2740257,0.19477732,0.28615668,0.26561633,0.27270204,0.27387115,0.28124017,0.26024696,0.29075325,0.22523677
0.87778515,0.7866158,0.8520107,1.0,0.7446689,0.8243556,0.8311226,0.3096332,0.29299995,0.27180505,0.32366917,0.3314821,0.238547,0.34006256,0.32489395,0.31811002,0.33980787,0.34361324,0.3089204,0.32346457,0.2874161
0.7569353,0.75305283,0.7444182,0.7446689,1.0,0.6963718,0.7328171,0.23331656,0.1949563,0.20029542,0.26055747,0.23990186,0.12331463,0.25288436,0.20436873,0.18182842,0.17985442,0.19936693,0.1804331,0.20633477,0.13496134
0.8131555,0.78298765,0.81950575,0.8243556,0.6963718,1.0,0.8708117,0.22774172,0.22232905,0.19435608,0.2625598,0.25389856,0.15667148,0.2546661,0.28220764,0.31172404,0.29414728,0.29465932,0.26359636,0.28305852,0.26858184
0.8136942,0.8103333,0.8594123,0.8311226,0.7328171,0.8708117,1.0,0.250795,0.23585027,0.23108932,0.26910764,0.28272894,0.21151693,0.2783115,0.25938183,0.2764811,0.25927675,0.26864025,0.24672583,0.2658428,0.22279646
0.26226375,0.19704828,0.2470304,0.3096332,0.23331656,0.22774172,0.250795,1.0,0.7158927,0.7338392,0.7233187,0.75952554,0.49172646,0.7351637,0.45445743,0.48019785,0.46989548,0.5028525,0.48036587,0.45115164,0.41307423
0.26545826,0.17668009,0.23172235,0.29299995,0.1949563,0.22232905,0.23585027,0.7158927,1.0,0.7962847,0.7644524,0.773471,0.67114323,0.7626111,0.47859427,0.46638843,0.48423943,0.47612542,0.5016359,0.46589267,0.39328054
0.2344225,0.15529564,0.19543976,0.27180505,0.20029542,0.19435608,0.23108932,0.7338392,0.7962847,1.0,0.79877555,0.82305926,0.61884725,0.80059385,0.47316992,0.51856416,0.5069151,0.5222856,0.5040003,0.4852372,0.46664935
0.2830341,0.21207793,0.2652133,0.32366917,0.26055747,0.2625598,0.26910764,0.7233187,0.7644524,0.79877555,1.0,0.8965124,0.5501999,0.87408197,0.52639925,0.5814323,0.53453004,0.59601086,0.5683145,0.56002694,0.51644593
0.30375114,0.21037662,0.2740257,0.3314821,0.23990186,0.25389856,0.28272894,0.75952554,0.773471,0.82305926,0.8965124,1.0,0.57040113,0.8815987,0.5488297,0.58079004,0.5761239,0.60929835,0.577668,0.553598,0.5283927
0.19651648,0.14998539,0.19477732,0.238547,0.12331463,0.15667148,0.21151693,0.49172646,0.67114323,0.61884725,0.5501999,0.57040113,1.0,0.5819836,0.3329279,0.3857147,0.41180974,0.38323072,0.38965204,0.33185825,0.35469422
0.3313507,0.20348823,0.28615668,0.34006256,0.25288436,0.2546661,0.2783115,0.7351637,0.7626111,0.80059385,0.87408197,0.8815987,0.5819836,1.0,0.47931165,0.51310575,0.4951973,0.552198,0.50409085,0.49443254,0.44003755
0.31479177,0.22787277,0.26561633,0.32489395,0.20436873,0.28220764,0.25938183,0.45445743,0.47859427,0.47316992,0.52639925,0.5488297,0.3329279,0.47931165,1.0,0.84540176,0.8561096,0.8680559,0.8945235,0.8365356,0.7867141
0.27939335,0.1822417,0.27270204,0.31811002,0.18182842,0.31172404,0.2764811,0.48019785,0.46638843,0.51856416,0.5814323,0.58079004,0.3857147,0.51310575,0.84540176,1.0,0.8821794,0.92907244,0.89566994,0.8885263,0.8644705
0.3179482,0.1776772,0.27387115,0.33980787,0.17985442,0.29414728,0.25927675,0.46989548,0.48423943,0.5069151,0.53453004,0.5761239,0.41180974,0.4951973,0.8561096,0.8821794,1.0,0.9088911,0.8908484,0.8505223,0.84165573
0.30651763,0.19570212,0.28124017,0.34361324,0.19936693,0.29465932,0.26864025,0.5028525,0.47612542,0.5222856,0.59601086,0.60929835,0.38323072,0.552198,0.8680559,0.92907244,0.9088911,1.0,0.9263219,0.8811742,0.8741868
0.29874483,0.19275242,0.26024696,0.3089204,0.1804331,0.26359636,0.24672583,0.48036587,0.5016359,0.5040003,0.5683145,0.577668,0.38965204,0.50409085,0.8945235,0.89566994,0.8908484,0.9263219,1.0,0.8763812,0.8229727
0.2953361,0.19441243,0.29075325,0.32346457,0.20633477,0.28305852,0.2658428,0.45115164,0.46589267,0.4852372,0.56002694,0.553598,0.33185825,0.49443254,0.8365356,0.8885263,0.8505223,0.8811742,0.8763812,1.0,0.807758
0.2448082,0.13947576,0.22523677,0.2874161,0.13496134,0.26858184,0.22279646,0.41307423,0.39328054,0.46664935,0.51644593,0.5283927,0.35469422,0.44003755,0.7867141,0.8644705,0.84165573,0.8741868,0.8229727,0.807758,1.0
