Number,Factor,Item,Item_simp,Item_mod,Sign
1,Depression,I couldn't seem to experience any positive feeling at all.,when feeling depressed I Couldn't seem to experience any positive feeling at all," The Depression scale assesses dysphoria, hopelessness, devaluation of life, self-deprecation, lack of interest/involvement, anhedonia, and inertia. I Couldn't seem to experience any positive feeling at all",+
2,Depression,I found it difficult to work up the initiative to do things.,when feeling depressed I Found it difficult to work up the initiative to do things," The Depression scale assesses dysphoria, hopelessness, devaluation of life, self-deprecation, lack of interest/involvement, anhedonia, and inertia. I Found it difficult to work up the initiative to do things",+
3,Depression,I felt that I had nothing to look forward to.,when feeling depressed I Felt that I had nothing to look forward to," The Depression scale assesses dysphoria, hopelessness, devaluation of life, self-deprecation, lack of interest/involvement, anhedonia, and inertia. I Felt that I had nothing to look forward to",+
4,Depression,I felt down-hearted and blue.,when feeling depressed I Felt down-hearted and blue," The Depression scale assesses dysphoria, hopelessness, devaluation of life, self-deprecation, lack of interest/involvement, anhedonia, and inertia. I Felt down-hearted and blue",+
5,Depression,I was unable to become enthusiastic about anything.,when feeling depressed I was Unable to become enthusiastic about anything," The Depression scale assesses dysphoria, hopelessness, devaluation of life, self-deprecation, lack of interest/involvement, anhedonia, and inertia. I was Unable to become enthusiastic about anything",+
6,Depression,I felt I wasn't worth much as a person.,when feeling depressed I Felt I wasn't worth much as a person," The Depression scale assesses dysphoria, hopelessness, devaluation of life, self-deprecation, lack of interest/involvement, anhedonia, and inertia. I Felt I wasn't worth much as a person",+
7,Depression,I felt that life was meaningless.,when feeling depressed I Felt that life was meaningless," The Depression scale assesses dysphoria, hopelessness, devaluation of life, self-deprecation, lack of interest/involvement, anhedonia, and inertia. I Felt that life was meaningless",+
8,Anxiety,I was aware of dryness of my mouth.,when feeling anxious I Aware of dryness of my mouth,"The Anxiety scale assesses autonomic arousal, skeletal muscle effects, situational anxiety, and subjective experience of anxious affect.I was Aware of dryness of my mouth",+
9,Anxiety,"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).","when feeling anxious I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","The Anxiety scale assesses autonomic arousal, skeletal muscle effects, situational anxiety, and subjective experience of anxious affect.I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)",+
10,Anxiety,"I experienced trembling (e.g., in the hands).","when feeling anxious I Experienced trembling (e.g., in the hands)","The Anxiety scale assesses autonomic arousal, skeletal muscle effects, situational anxiety, and subjective experience of anxious affect. I Experienced trembling (e.g., in the hands)",+
11,Anxiety,I was worried about situations in which I might panic and make a fool of myself.,when feeling anxious I Worried about situations in which I might panic and make a fool of myself,"The Anxiety scale assesses autonomic arousal, skeletal muscle effects, situational anxiety, and subjective experience of anxious affect. I Worried about situations in which I might panic and make a fool of myself",+
12,Anxiety,I felt I was close to panic.,when feeling anxious I Felt I was close to panic,"The Anxiety scale assesses autonomic arousal, skeletal muscle effects, situational anxiety, and subjective experience of anxious affect. I Felt I was close to panic",+
13,Anxiety,"I was aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat).","when feeling anxious I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)","The Anxiety scale assesses autonomic arousal, skeletal muscle effects, situational anxiety, and subjective experience of anxious affect. I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",+
14,Anxiety,I felt scared without any good reason.,when feeling anxious I Felt scared without any good reason,"The Anxiety scale assesses autonomic arousal, skeletal muscle effects, situational anxiety, and subjective experience of anxious affect. I Felt scared without any good reason",+
15,Stress,I found it hard to wind down.,when feeling anxious I Found it hard to wind down,"The Stress scale is sensitive to levels of chronic non-specific arousal. It assesses difficulty relaxing, nervous arousal, and being easily upset/agitated, irritable/over-reactive and impatient.I Found it hard to wind down",+
16,Stress,I tended to over-react to situations.,when feeling stressed I Tended to over-react to situations,"The Stress scale is sensitive to levels of chronic non-specific arousal. It assesses difficulty relaxing, nervous arousal, and being easily upset/agitated, irritable/over-reactive and impatient. I Tended to over-react to situations",+
17,Stress,I felt that I was using a lot of nervous energy.,when feeling stressed I Felt that I was using a lot of nervous energy,"The Stress scale is sensitive to levels of chronic non-specific arousal. It assesses difficulty relaxing, nervous arousal, and being easily upset/agitated, irritable/over-reactive and impatient. I Felt that I was using a lot of nervous energy",+
18,Stress,I found myself getting agitated.,when feeling stressed I Found myself getting agitated,"The Stress scale is sensitive to levels of chronic non-specific arousal. It assesses difficulty relaxing, nervous arousal, and being easily upset/agitated, irritable/over-reactive and impatient. I Found myself getting agitated",+
19,Stress,I found it difficult to relax.,when feeling stressed I Found it difficult to relax,"The Stress scale is sensitive to levels of chronic non-specific arousal. It assesses difficulty relaxing, nervous arousal, and being easily upset/agitated, irritable/over-reactive and impatient. I Found it difficult to relax",+
20,Stress,I was intolerant of anything that kept me from getting on with what I was doing.,when feeling stressed I was intolerant of anything that kept me from getting on with what I was doing,"The Stress scale is sensitive to levels of chronic non-specific arousal. It assesses difficulty relaxing, nervous arousal, and being easily upset/agitated, irritable/over-reactive and impatient. I was intolerant of anything that kept me from getting on with what I was doing",+
21,Stress,I felt that I was rather touchy.,when feeling stressed I Felt that I was rather touchy,"The Stress scale is sensitive to levels of chronic non-specific arousal. It assesses difficulty relaxing, nervous arousal, and being easily upset/agitated, irritable/over-reactive and impatient. I Felt that I was rather touchy",+
