Number,Factor,Item,Item_simp,Item_mod,Sign
1,Depression,I couldn't seem to experience any positive feeling at all.,when feeling depressed I Couldn't seem to experience any positive feeling at all,"Depression is characterised principally by a loss of self-esteem and incentive, and is associated with a low perceived probability of attaining life goals of significance for the individual as a person. I Couldn't seem to experience any positive feeling at all",+
2,Depression,I found it difficult to work up the initiative to do things.,when feeling depressed I Found it difficult to work up the initiative to do things,"Depression is characterised principally by a loss of self-esteem and incentive, and is associated with a low perceived probability of attaining life goals of significance for the individual as a person. I Found it difficult to work up the initiative to do things",+
3,Depression,I felt that I had nothing to look forward to.,when feeling depressed I Felt that I had nothing to look forward to,"Depression is characterised principally by a loss of self-esteem and incentive, and is associated with a low perceived probability of attaining life goals of significance for the individual as a person. I Felt that I had nothing to look forward to",+
4,Depression,I felt down-hearted and blue.,when feeling depressed I Felt down-hearted and blue,"Depression is characterised principally by a loss of self-esteem and incentive, and is associated with a low perceived probability of attaining life goals of significance for the individual as a person.I Felt down-hearted and blue",+
5,Depression,I was unable to become enthusiastic about anything.,when feeling depressed I was Unable to become enthusiastic about anything,"Depression is characterised principally by a loss of self-esteem and incentive, and is associated with a low perceived probability of attaining life goals of significance for the individual as a person.I was Unable to become enthusiastic about anything",+
6,Depression,I felt I wasn't worth much as a person.,when feeling depressed I Felt I wasn't worth much as a person,"Depression is characterised principally by a loss of self-esteem and incentive, and is associated with a low perceived probability of attaining life goals of significance for the individual as a person.I Felt I wasn't worth much as a person",+
7,Depression,I felt that life was meaningless.,when feeling depressed I Felt that life was meaningless,"Depression is characterised principally by a loss of self-esteem and incentive, and is associated with a low perceived probability of attaining life goals of significance for the individual as a person.I Felt that life was meaningless",+
8,Anxiety,I was aware of dryness of my mouth.,when feeling anxious I Aware of dryness of my mouth,Anxiety is a relatively enduring state of anxiety and the acute response of fear.I was Aware of dryness of my mouth,+
9,Anxiety,"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).","when feeling anxious I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","Anxiety is a relatively enduring state of anxiety and the acute response of fear. I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)",+
10,Anxiety,"I experienced trembling (e.g., in the hands).","when feeling anxious I Experienced trembling (e.g., in the hands)","Anxiety is a relatively enduring state of anxiety and the acute response of fear. I Experienced trembling (e.g., in the hands)",+
11,Anxiety,I was worried about situations in which I might panic and make a fool of myself.,when feeling anxious I Worried about situations in which I might panic and make a fool of myself,Anxiety is a relatively enduring state of anxiety and the acute response of fear. I Worried about situations in which I might panic and make a fool of myself,+
12,Anxiety,I felt I was close to panic.,when feeling anxious I Felt I was close to panic,Anxiety is a relatively enduring state of anxiety and the acute response of fear. I Felt I was close to panic,+
13,Anxiety,"I was aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat).","when feeling anxious I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)","Anxiety is a relatively enduring state of anxiety and the acute response of fear. I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",+
14,Anxiety,I felt scared without any good reason.,when feeling anxious I Felt scared without any good reason,Anxiety is a relatively enduring state of anxiety and the acute response of fear. I Felt scared without any good reason,+
15,Stress,I found it hard to wind down.,when feeling anxious I Found it hard to wind down,Stress is state of persistent arousal and tension with a low threshold for becoming upset or frustrated. I Found it hard to wind down,+
16,Stress,I tended to over-react to situations.,when feeling stressed I Tended to over-react to situations,Stress is state of persistent arousal and tension with a low threshold for becoming upset or frustrated.. I Tended to over-react to situations,+
17,Stress,I felt that I was using a lot of nervous energy.,when feeling stressed I Felt that I was using a lot of nervous energy,Stress is state of persistent arousal and tension with a low threshold for becoming upset or frustrated.. I Felt that I was using a lot of nervous energy,+
18,Stress,I found myself getting agitated.,when feeling stressed I Found myself getting agitated,Stress is state of persistent arousal and tension with a low threshold for becoming upset or frustrated.. I Found myself getting agitated,+
19,Stress,I found it difficult to relax.,when feeling stressed I Found it difficult to relax,Stress is state of persistent arousal and tension with a low threshold for becoming upset or frustrated.. I Found it difficult to relax,+
20,Stress,I was intolerant of anything that kept me from getting on with what I was doing.,when feeling stressed I was intolerant of anything that kept me from getting on with what I was doing,Stress is state of persistent arousal and tension with a low threshold for becoming upset or frustrated.. I was intolerant of anything that kept me from getting on with what I was doing,+
21,Stress,I felt that I was rather touchy.,when feeling stressed I Felt that I was rather touchy,Stress is state of persistent arousal and tension with a low threshold for becoming upset or frustrated. I Felt that I was rather touchy,+
