when feeling depressed I Couldn't seem to experience any positive feeling at all,when feeling depressed I Found it difficult to work up the initiative to do things,when feeling depressed I Felt that I had nothing to look forward to,when feeling depressed I Felt down-hearted and blue,when feeling depressed I was Unable to become enthusiastic about anything,when feeling depressed I Felt I wasn't worth much as a person,when feeling depressed I Felt that life was meaningless,when feeling anxious I Aware of dryness of my mouth,"when feeling anxious I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","when feeling anxious I Experienced trembling (e.g., in the hands)",when feeling anxious I Worried about situations in which I might panic and make a fool of myself,when feeling anxious I Felt I was close to panic,"when feeling anxious I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",when feeling anxious I Felt scared without any good reason,when feeling anxious I Found it hard to wind down,when feeling stressed I Tended to over-react to situations,when feeling stressed I Felt that I was using a lot of nervous energy,when feeling stressed I Found myself getting agitated,when feeling stressed I Found it difficult to relax,when feeling stressed I was intolerant of anything that kept me from getting on with what I was doing,when feeling stressed I Felt that I was rather touchy
1.0,0.25714055,0.56407857,0.41864824,0.55587983,0.38053417,0.5016737,0.33264917,0.24095449,0.42584616,0.26942772,0.31339142,0.2371312,0.4834815,0.35708746,0.21270278,0.42651397,0.30217412,0.4253289,0.31379852,0.2590292
0.25714055,1.0,0.41322201,0.29497185,0.49242675,0.43346855,0.31038412,0.28570318,0.19565117,0.2738671,0.41778708,0.35248908,0.21326935,0.3143517,0.599292,0.52534455,0.4134464,0.527792,0.5895907,0.48401034,0.34786025
0.56407857,0.41322201,1.0,0.5155042,0.6433376,0.5568662,0.6423491,0.31234342,0.12789541,0.2522481,0.22925334,0.41960424,0.12544948,0.5663799,0.3508888,0.23500173,0.26776525,0.30376595,0.46067563,0.35856494,0.26218283
0.41864824,0.29497185,0.5155042,1.0,0.35068828,0.5231433,0.5385728,0.40158376,0.1086132,0.27624172,0.22251633,0.5245944,0.17862432,0.52764904,0.34775916,0.34182003,0.40252027,0.43307862,0.4027595,0.28250784,0.43624035
0.55587983,0.49242675,0.6433376,0.35068828,1.0,0.40394527,0.42388603,0.21849973,0.10869062,0.198864,0.1733,0.24659438,0.061550222,0.37227273,0.4252292,0.3000453,0.26567835,0.38125852,0.43556,0.49399248,0.20926638
0.38053417,0.43346855,0.5568662,0.5231433,0.40394527,1.0,0.6529805,0.21543783,0.05038594,0.19063903,0.23559964,0.3576215,0.118599884,0.41744658,0.2885901,0.43956408,0.3166326,0.35055155,0.3547313,0.3552492,0.437163
0.5016737,0.31038412,0.6423491,0.5385728,0.42388603,0.6529805,1.0,0.26138183,0.09273348,0.23640233,0.20952353,0.3888708,0.18823674,0.4695878,0.3161514,0.2965971,0.30867288,0.37043142,0.35710207,0.31980652,0.30971023
0.33264917,0.28570318,0.31234342,0.40158376,0.21849973,0.21543783,0.26138183,1.0,0.3678146,0.50386024,0.28702572,0.42284137,0.29857793,0.38466433,0.3449503,0.31064117,0.4511083,0.37555388,0.383243,0.18276052,0.28408164
0.24095449,0.19565117,0.12789541,0.1086132,0.10869062,0.05038594,0.09273348,0.3678146,1.0,0.57091224,0.23234889,0.24863686,0.42609864,0.22101194,0.3042518,0.19528632,0.35950688,0.21405004,0.35987118,0.12636957,0.06424341
0.42584616,0.2738671,0.2522481,0.27624172,0.198864,0.19063903,0.23640233,0.50386024,0.57091224,1.0,0.415878,0.47152296,0.44092304,0.48829272,0.31667373,0.39759937,0.6169392,0.39521956,0.44081828,0.21309686,0.3300071
0.26942772,0.41778708,0.22925334,0.22251633,0.1733,0.23559964,0.20952353,0.28702572,0.23234889,0.415878,1.0,0.5891091,0.25709367,0.5250227,0.37785977,0.60895413,0.5932295,0.5208661,0.47634718,0.3351392,0.45113018
0.31339142,0.35248908,0.41960424,0.5245944,0.24659438,0.3576215,0.3888708,0.42284137,0.24863686,0.47152296,0.5891091,1.0,0.23396908,0.70504475,0.43709198,0.4948545,0.62538147,0.62988734,0.50285625,0.26970962,0.4948032
0.2371312,0.21326935,0.12544948,0.17862432,0.061550222,0.118599884,0.18823674,0.29857793,0.42609864,0.44092304,0.25709367,0.23396908,1.0,0.2482032,0.118995845,0.23150985,0.39718682,0.13602492,0.20725481,0.041061684,0.14284587
0.4834815,0.3143517,0.5663799,0.52764904,0.37227273,0.41744658,0.4695878,0.38466433,0.22101194,0.48829272,0.5250227,0.70504475,0.2482032,1.0,0.34471738,0.37541854,0.51437163,0.5000926,0.4347074,0.34153476,0.41231748
0.35708746,0.599292,0.3508888,0.34775916,0.4252292,0.2885901,0.3161514,0.3449503,0.3042518,0.31667373,0.37785977,0.43709198,0.118995845,0.34471738,1.0,0.4498576,0.56741357,0.56287163,0.7355903,0.44439146,0.36640078
0.21270278,0.52534455,0.23500173,0.34182003,0.3000453,0.43956408,0.2965971,0.31064117,0.19528632,0.39759937,0.60895413,0.4948545,0.23150985,0.37541854,0.4498576,1.0,0.5586396,0.5739092,0.5309551,0.4595702,0.5098975
