when feeling depressed I Couldn't seem to experience any positive feeling at all,when feeling depressed I Found it difficult to work up the initiative to do things,when feeling depressed I Felt that I had nothing to look forward to,when feeling depressed I Felt down-hearted and blue,when feeling depressed I was Unable to become enthusiastic about anything,when feeling depressed I Felt I wasn't worth much as a person,when feeling depressed I Felt that life was meaningless,when feeling anxious I Aware of dryness of my mouth,"when feeling anxious I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","when feeling anxious I Experienced trembling (e.g., in the hands)",when feeling anxious I Worried about situations in which I might panic and make a fool of myself,when feeling anxious I Felt I was close to panic,"when feeling anxious I was Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",when feeling anxious I Felt scared without any good reason,when feeling anxious I Found it hard to wind down,when feeling stressed I Tended to over-react to situations,when feeling stressed I Felt that I was using a lot of nervous energy,when feeling stressed I Found myself getting agitated,when feeling stressed I Found it difficult to relax,when feeling stressed I was intolerant of anything that kept me from getting on with what I was doing,when feeling stressed I Felt that I was rather touchy
1.0,0.9803724,0.9934151,0.99428976,0.9959614,0.99068415,0.9908858,0.54413193,0.8331203,0.68033636,0.90467834,0.8990673,0.79333,0.8676165,0.79380214,0.84538263,0.82846195,0.85257185,0.78379905,0.9245832,0.82858235
0.9803724,1.0,0.9786693,0.9796746,0.9873801,0.97420037,0.977289,0.52475077,0.82874155,0.6669917,0.8939421,0.88406146,0.7768613,0.8521973,0.8256207,0.86412424,0.83754987,0.85799,0.81184244,0.9222297,0.84187454
0.9934151,0.9786693,1.0,0.99487776,0.99455494,0.9935907,0.9933565,0.5298596,0.8232648,0.66513515,0.9054203,0.89859086,0.78007317,0.86212826,0.7815483,0.83933896,0.8147779,0.841551,0.7700718,0.92111176,0.8190911
0.99428976,0.9796746,0.99487776,1.0,0.9952899,0.9943591,0.9939098,0.53388023,0.82256705,0.66977453,0.9029908,0.8966696,0.78382105,0.8589369,0.7826077,0.8402003,0.81769735,0.8447884,0.771193,0.9192474,0.82246
0.9959614,0.9873801,0.99455494,0.9952899,1.0,0.9917725,0.992541,0.5350353,0.83392644,0.6738301,0.9089239,0.9018119,0.789285,0.86712193,0.8016909,0.8557877,0.8320776,0.8573915,0.79087394,0.9310281,0.8341307
0.99068415,0.97420037,0.9935907,0.9943591,0.9917725,1.0,0.99515575,0.51107436,0.80971897,0.65146995,0.8998419,0.8921642,0.767549,0.8518705,0.76587576,0.8282771,0.80228746,0.8287651,0.75347954,0.91193306,0.80840653
0.9908858,0.977289,0.9933565,0.9939098,0.992541,0.99515575,1.0,0.51406926,0.8128491,0.65178305,0.89516985,0.8881439,0.7712028,0.84936076,0.7737995,0.83139753,0.80682665,0.83257407,0.76241493,0.9109825,0.81021583
0.54413193,0.52475077,0.5298596,0.53388023,0.5350353,0.51107436,0.51406926,1.0,0.7891177,0.8842188,0.6759084,0.6835931,0.797718,0.73921406,0.58566004,0.58646774,0.6399932,0.6229612,0.5982653,0.5892089,0.6130748
0.8331203,0.82874155,0.8232648,0.82256705,0.83392644,0.80971897,0.8128491,0.7891177,1.0,0.8839086,0.94555503,0.9465932,0.9384905,0.96416336,0.8145132,0.8419765,0.8536254,0.8546879,0.8221125,0.87509024,0.8399397
0.68033636,0.6669917,0.66513515,0.66977453,0.6738301,0.65146995,0.65178305,0.8842188,0.8839086,1.0,0.8200272,0.82475847,0.904899,0.87055147,0.7192738,0.7316563,0.77730554,0.7639818,0.7313348,0.7369943,0.76032394
