I am the life of the party.,I don't talk a lot.,I feel comfortable around people.,I keep in the background.,I start conversations.,I have little to say.,I talk to a lot of different people at parties.,I don't like to draw attention to myself.,I don't mind being the center of attention.,I am quiet around strangers.,I get stressed out easily.,I am relaxed most of the time.,I worry about things.,I seldom feel blue.,I am easily disturbed.,I get upset easily.,I change my mood a lot.,I have frequent mood swings.,I get irritated easily.,I often feel blue.,I feel little concern for others.,I am interested in people.,I insult people.,I sympathize with others' feelings.,I am not interested in other people's problems.,I have a soft heart.,I am not really interested in others.,I take time out for others.,I feel others' emotions.,I make people feel at ease.,I am always prepared.,I leave my belongings around.,I pay attention to details.,I make a mess of things.,I get chores done right away.,I often forget to put things back in their proper place.,I like order.,I shirk my duties.,I follow a schedule.,I am exacting in my work.,I have a rich vocabulary.,I have difficulty understanding abstract ideas.,I have a vivid imagination.,I am not interested in abstract ideas.,I have excellent ideas.,I do not have a good imagination.,I am quick to understand things.,I use difficult words.,I spend time reflecting on things.,I am full of ideas.
1.0,0.19825883,0.32947823,0.24886683,0.26174632,0.11906835,0.5219099,0.28410193,0.25847173,0.15540504,0.2711443,0.23539296,0.23169334,0.103080414,0.29084754,0.27629846,0.4042895,0.33340228,0.26204324,0.18479219,0.13043824,0.29641935,0.23236452,0.20509371,0.23005907,0.20879148,0.24794704,0.28838053,0.25735563,0.3093333,0.27337533,0.22141287,0.21366149,0.3569278,0.30932406,0.0545978,0.2787896,0.26845658,0.334839,0.28856945,0.25825462,0.08692117,0.27934217,0.24391092,0.17542072,0.19184914,0.20846586,0.16788457,0.23956357,0.32234704
0.19825883,1.0,0.26229745,0.35831377,0.40594548,0.5515506,0.32819995,0.5035089,0.31926966,0.5147973,0.31459787,0.421885,0.354936,0.46505985,0.3247194,0.300496,0.35961533,0.2913457,0.33116576,0.21412759,0.3399848,0.28831306,0.22566016,0.11012134,0.32890272,0.3035141,0.55760896,0.3276081,0.12505235,0.27578205,0.012225844,0.30011898,0.3321846,0.35050827,0.14527741,0.30843386,0.25847748,0.31968278,0.3122426,0.09162782,0.34269306,0.31781992,0.23254396,0.3853406,0.19089872,0.38143763,0.32739317,0.3795452,0.38081425,0.17201392
0.32947823,0.26229745,1.0,0.27873698,0.39413562,0.085815206,0.3658221,0.38596347,0.46935424,0.5336877,0.4285488,0.5251435,0.3289151,0.29090112,0.45118082,0.39157718,0.37504894,0.27781242,0.36697036,0.39614293,0.42343748,0.48886073,0.22965223,0.4627309,0.30648917,0.45544374,0.3880446,0.4200969,0.5099658,0.7728302,0.25743067,0.27711326,0.22516675,0.2540378,0.22680631,0.17776625,0.32179728,0.27176267,0.26325172,0.13378789,0.3294029,0.16335025,0.1896352,0.27448404,0.20503373,0.13018231,0.415684,0.20268244,0.2732311,0.2580373
0.24886683,0.35831377,0.27873698,1.0,0.34116644,0.33894116,0.11396216,0.32943013,0.29624635,0.4455769,0.27853724,0.3756239,0.36174145,0.30498028,0.36780187,0.2467438,0.29451013,0.2965582,0.28285766,0.29702,0.2238112,0.21756558,0.10453233,0.14290263,0.14083204,0.3055514,0.32136038,0.3012872,0.23118545,0.2784292,0.3490675,0.3595041,0.4337874,0.34863496,0.22844425,0.32793027,0.27610755,0.27845246,0.4253408,0.22625332,0.23485167,0.16496192,0.29020292,0.24085155,0.24879692,0.22401732,0.2728689,0.21773683,0.47096482,0.22269483
0.26174632,0.40594548,0.39413562,0.34116644,1.0,0.3127871,0.32062694,0.24786977,0.21811697,0.258914,0.31584382,0.24143758,0.39674586,0.18527186,0.36125624,0.33018124,0.34090236,0.2534511,0.37196153,0.2893329,0.18316296,0.4190916,0.30311587,0.3251762,0.115263,0.26450557,0.2672127,0.31920236,0.40053108,0.4129135,0.116088234,0.2745211,0.36792386,0.30918637,0.2246804,0.20007212,0.2792975,0.26097,0.2977154,0.15845907,0.36457655,0.31187862,0.27739674,0.2372023,0.37045524,0.1927028,0.35027587,0.41886076,0.47559375,0.38007084
0.11906835,0.5515506,0.085815206,0.33894116,0.3127871,1.0,0.10918966,0.2950309,0.09076458,0.38031906,0.15950929,0.124064386,0.30767033,0.30909115,0.20746103,0.18531582,0.19710575,0.1449817,0.21092033,0.14562887,0.3816722,0.20450407,0.1624795,0.20575564,0.19929089,0.30982178,0.44477394,0.17421554,0.1727612,0.1295287,0.049289767,0.28988245,0.3549195,0.25845206,0.05139356,0.17811678,0.22246695,0.2784862,0.15974534,0.13030438,0.2662556,0.38841024,0.23193316,0.3378086,0.29842615,0.3999312,0.22994137,0.3868951,0.3145558,0.24040562
0.5219099,0.32819995,0.3658221,0.11396216,0.32062694,0.10918966,1.0,0.30222806,0.23508537,0.2028086,0.2532079,0.19760776,0.29216123,0.12897342,0.2916824,0.27080297,0.4631522,0.4051833,0.2721095,0.19294015,0.1266531,0.47309268,0.29581314,0.26979387,0.25341916,0.057155102,0.27788252,0.32662496,0.33453953,0.32886058,0.04528853,0.09316788,0.24430947,0.33814895,0.074246466,0.12554474,0.18938917,0.12647317,0.20545015,0.06119628,0.2605863,0.22184497,0.24705897,0.19879664,0.20834684,0.19203666,0.23032553,0.20517963,0.3308136,0.2882813
0.28410193,0.5035089,0.38596347,0.32943013,0.24786977,0.2950309,0.30222806,1.0,0.5245187,0.43813905,0.45450848,0.3616898,0.46162617,0.38966766,0.47241285,0.47571072,0.45696428,0.36370417,0.4970052,0.27089834,0.4583776,0.43502057,0.3815221,0.22026297,0.59729177,0.36286244,0.66890645,0.35011375,0.34644634,0.38714767,0.12266441,0.22204438,0.4040577,0.3985223,0.16917832,0.3265222,0.3224095,0.40496668,0.28740698,0.29339072,0.21190655,0.34636062,0.2303346,0.541783,0.13308209,0.37502974,0.29108307,0.33471632,0.40221995,0.1895038
0.25847173,0.31926966,0.46935424,0.29624635,0.21811697,0.09076458,0.23508537,0.5245187,1.0,0.3790829,0.32961768,0.5152276,0.32574788,0.29460362,0.35263115,0.3058999,0.3496355,0.23775268,0.27567992,0.29804108,0.49736482,0.39797127,0.12556809,0.2879055,0.48691913,0.31686983,0.46607324,0.36829388,0.2911779,0.519193,0.22125627,0.16657302,0.42789802,0.19387306,0.32628885,0.21084253,0.30577457,0.25718173,0.3046211,0.23757266,0.2198354,0.17655002,0.24023357,0.45548475,0.19979358,0.18352851,0.38788217,0.07256689,0.33669004,0.23773268
0.15540504,0.5147973,0.5336877,0.4455769,0.258914,0.38031906,0.2028086,0.43813905,0.3790829,1.0,0.3035647,0.45328146,0.2871869,0.39414108,0.35882634,0.26368883,0.21219477,0.17546514,0.25090122,0.2218237,0.5526099,0.26929888,0.16103664,0.2574007,0.38483474,0.4617057,0.53819144,0.37204635,0.27885398,0.40256453,0.15140563,0.33808193,0.2721902,0.23789737,0.12983212,0.23971485,0.2295748,0.3681592,0.21471068,0.09208831,0.20438239,0.27540818,0.11377233,0.3565942,0.1218379,0.2110645,0.3122345,0.2569911,0.24839675,0.107625976
