I am the life of the party.,I don't talk a lot.,I feel comfortable around people.,I keep in the background.,I start conversations.,I have little to say.,I talk to a lot of different people at parties.,I don't like to draw attention to myself.,I don't mind being the center of attention.,I am quiet around strangers.,I get stressed out easily.,I am relaxed most of the time.,I worry about things.,I seldom feel blue.,I am easily disturbed.,I get upset easily.,I change my mood a lot.,I have frequent mood swings.,I get irritated easily.,I often feel blue.,I feel little concern for others.,I am interested in people.,I insult people.,I sympathize with others' feelings.,I am not interested in other people's problems.,I have a soft heart.,I am not really interested in others.,I take time out for others.,I feel others' emotions.,I make people feel at ease.,I am always prepared.,I leave my belongings around.,I pay attention to details.,I make a mess of things.,I get chores done right away.,I often forget to put things back in their proper place.,I like order.,I shirk my duties.,I follow a schedule.,I am exacting in my work.,I have a rich vocabulary.,I have difficulty understanding abstract ideas.,I have a vivid imagination.,I am not interested in abstract ideas.,I have excellent ideas.,I do not have a good imagination.,I am quick to understand things.,I use difficult words.,I spend time reflecting on things.,I am full of ideas.
1.0,0.8127268,0.82721835,0.8394948,0.82244223,0.7916867,0.8416826,0.797116,0.83403647,0.80923295,0.80480886,0.8088616,0.79958254,0.7941057,0.7975833,0.789033,0.8070319,0.80473673,0.79800165,0.7975128,0.8091271,0.8208459,0.81704515,0.8038028,0.80423063,0.7970318,0.8074108,0.81983775,0.8106528,0.8261462,0.8164487,0.8115315,0.8168245,0.8276217,0.80644006,0.768962,0.8013146,0.8275336,0.823253,0.82136834,0.815671,0.77853847,0.83551526,0.7856508,0.8086491,0.79450434,0.80902475,0.8022015,0.80412644,0.8395622
0.8127268,1.0,0.8302028,0.8331402,0.8647326,0.8874458,0.82665676,0.8850303,0.8404708,0.86948395,0.8451502,0.8554207,0.83995926,0.85442114,0.82585084,0.8255013,0.84289706,0.8258447,0.8350514,0.8075684,0.8580288,0.82544494,0.8255213,0.7974802,0.85703886,0.82493937,0.88492006,0.8280645,0.80426306,0.8167853,0.79192287,0.8240388,0.82366174,0.839013,0.8142401,0.8120268,0.7820885,0.8217416,0.8267393,0.8010293,0.82850724,0.82227474,0.81665254,0.8625466,0.7915127,0.8663874,0.82304215,0.8527144,0.84103274,0.8182255
0.82721835,0.8302028,1.0,0.82631844,0.8520131,0.7989094,0.84509206,0.8153307,0.85395664,0.8857349,0.85111576,0.85712284,0.83108944,0.8175947,0.8376241,0.8240528,0.84689695,0.83133996,0.83967406,0.84317046,0.88379776,0.86570466,0.8352519,0.8791981,0.8475717,0.84868973,0.8527425,0.86758673,0.8771498,0.9252866,0.83663386,0.8500813,0.83833396,0.819762,0.830788,0.7917716,0.84773797,0.8043238,0.82685626,0.8264227,0.82774246,0.7901582,0.83887255,0.79107976,0.836638,0.7971474,0.85515493,0.8137269,0.84425426,0.8336803
0.8394948,0.8331402,0.82631844,1.0,0.8450771,0.8275009,0.78351665,0.833514,0.86685854,0.86185247,0.8374325,0.84292704,0.8309536,0.8307421,0.8296245,0.81733644,0.82214904,0.8233798,0.8244392,0.8292462,0.83143556,0.8158366,0.8074049,0.80492574,0.8099293,0.83677053,0.8224223,0.8269629,0.80738294,0.8411867,0.8719266,0.84779626,0.8734904,0.8326675,0.81970483,0.8191627,0.816388,0.8259038,0.86754376,0.84164894,0.82165325,0.7951677,0.83631194,0.80934966,0.8096546,0.8081555,0.8244489,0.8207096,0.83650404,0.82650083
0.82244223,0.8647326,0.8520131,0.8450771,1.0,0.83083093,0.85544837,0.81136775,0.82562965,0.8460123,0.8336398,0.8305315,0.84368354,0.8053356,0.82188255,0.82584673,0.8451182,0.82924694,0.83393705,0.8236503,0.8250613,0.86911047,0.85100675,0.8314363,0.82251227,0.8269114,0.82127213,0.8326282,0.8339137,0.84136766,0.8333241,0.8233756,0.84885705,0.8404584,0.83061177,0.78871554,0.8299672,0.8347702,0.85137033,0.8123368,0.83928335,0.8061666,0.8357882,0.8070064,0.8456462,0.8138814,0.8512997,0.8558281,0.8580921,0.84538096
0.7916867,0.8874458,0.7989094,0.8275009,0.83083093,1.0,0.76318645,0.8241448,0.8009102,0.8380561,0.8180326,0.7946429,0.8367463,0.83650243,0.83729255,0.8174177,0.8006325,0.790974,0.81986195,0.785047,0.8444694,0.81539917,0.80861,0.7967704,0.81754094,0.82885075,0.84255874,0.8006589,0.7970557,0.80463165,0.7979887,0.81972885,0.8044964,0.8244219,0.7847648,0.78512776,0.79502755,0.8122577,0.8027879,0.7933722,0.81460387,0.8204613,0.8183118,0.8308704,0.80753195,0.8618379,0.8247003,0.83472747,0.817177,0.826965
0.8416826,0.82665676,0.84509206,0.78351665,0.85544837,0.76318645,1.0,0.7949885,0.79492575,0.84050137,0.78504336,0.80955654,0.804398,0.7719971,0.77885234,0.7799364,0.8557773,0.83554655,0.78652596,0.80901265,0.80455077,0.8458204,0.8473788,0.836818,0.82167774,0.7695528,0.824241,0.83922887,0.83446,0.81504196,0.7856893,0.7922799,0.82183915,0.8201725,0.7787686,0.79629403,0.78046155,0.7953406,0.79150504,0.7871213,0.83052903,0.8058476,0.8109625,0.78989625,0.8062291,0.7837553,0.8034212,0.82955116,0.8349134,0.8141502
0.797116,0.8850303,0.8153307,0.833514,0.81136775,0.8241448,0.7949885,1.0,0.8937726,0.8447171,0.85273194,0.835543,0.8357028,0.8462902,0.83751243,0.8381352,0.84559083,0.8434383,0.84806436,0.803172,0.85851127,0.81530416,0.80582964,0.80870104,0.89986414,0.8037388,0.9045933,0.810417,0.8079766,0.79819465,0.7909606,0.82635856,0.8271769,0.8195221,0.80141324,0.8381861,0.80037206,0.8252534,0.82064086,0.79091024,0.78544533,0.8264151,0.7898868,0.88801795,0.7759653,0.8541781,0.8049044,0.8321556,0.82806855,0.7963842
0.83403647,0.8404708,0.85395664,0.86685854,0.82562965,0.8009102,0.79492575,0.8937726,1.0,0.847341,0.8428491,0.84768623,0.8117022,0.82020396,0.8171419,0.8086935,0.82764703,0.81723315,0.8175141,0.8073782,0.863088,0.8300143,0.7778035,0.8294598,0.86535347,0.8321856,0.8522605,0.8216532,0.80486065,0.85571426,0.83282745,0.8121808,0.8666576,0.7956286,0.8220492,0.80164695,0.8412238,0.81260824,0.818075,0.81305236,0.8113495,0.79041207,0.8154267,0.85347235,0.8041231,0.79568344,0.8288044,0.79424983,0.83699256,0.82008594
0.80923295,0.86948395,0.8857349,0.86185247,0.8460123,0.8380561,0.84050137,0.8447171,0.847341,1.0,0.8444786,0.8552313,0.8293455,0.8344227,0.83562535,0.8206901,0.8220771,0.8262975,0.8300492,0.8037356,0.8996025,0.8516886,0.8441578,0.8452999,0.8636051,0.83774054,0.8862818,0.87050927,0.85182935,0.87681216,0.8129686,0.87183154,0.82978415,0.8251252,0.8213261,0.81508017,0.78869027,0.8187774,0.80917597,0.8004272,0.80955374,0.80178237,0.8278587,0.8222933,0.79952073,0.8231559,0.82722217,0.82297164,0.84495455,0.8072184
