I am the life of the party.,I don't talk a lot.,I feel comfortable around people.,I keep in the background.,I start conversations.,I have little to say.,I talk to a lot of different people at parties.,I don't like to draw attention to myself.,I don't mind being the center of attention.,I am quiet around strangers.,I get stressed out easily.,I am relaxed most of the time.,I worry about things.,I seldom feel blue.,I am easily disturbed.,I get upset easily.,I change my mood a lot.,I have frequent mood swings.,I get irritated easily.,I often feel blue.,I feel little concern for others.,I am interested in people.,I insult people.,I sympathize with others' feelings.,I am not interested in other people's problems.,I have a soft heart.,I am not really interested in others.,I take time out for others.,I feel others' emotions.,I make people feel at ease.,I am always prepared.,I leave my belongings around.,I pay attention to details.,I make a mess of things.,I get chores done right away.,I often forget to put things back in their proper place.,I like order.,I shirk my duties.,I follow a schedule.,I am exacting in my work.,I have a rich vocabulary.,I have difficulty understanding abstract ideas.,I have a vivid imagination.,I am not interested in abstract ideas.,I have excellent ideas.,I do not have a good imagination.,I am quick to understand things.,I use difficult words.,I spend time reflecting on things.,I am full of ideas.
1.0,0.31343108,0.5456534,0.2680066,0.45446095,0.24878289,0.66340667,0.29317802,0.6377667,0.3359193,0.39211437,0.45703375,0.23905739,0.025968844,0.46224087,0.40226936,0.50889,0.3336631,0.24130322,0.11465536,0.2960693,0.5153757,0.3771217,0.35938874,0.25893334,0.27047396,0.3515319,0.4994555,0.44467828,0.5532468,0.28565082,0.30667496,0.35667062,0.47869238,0.2776362,0.2663928,0.41279572,0.3740803,0.42137083,0.36387637,0.45583054,0.18825799,0.4397825,0.23610154,0.36378887,0.23932381,0.37004212,0.31522644,0.41418543,0.4498477
0.31343108,1.0,0.5189891,0.53102314,0.5678597,0.72334605,0.5757279,0.5612247,0.46298033,0.695537,0.33813846,0.63509494,0.45914835,0.2924483,0.38341677,0.33434528,0.5565006,0.33311462,0.31128836,0.34778047,0.41262102,0.5542628,0.22520088,0.35099602,0.3181234,0.43668768,0.65226984,0.634039,0.40960953,0.5394239,0.09445417,0.5250639,0.41785514,0.40740848,0.24418268,0.39678738,0.39070588,0.40375954,0.46499875,0.33457637,0.38541543,0.49416193,0.32768324,0.5845007,0.19804142,0.5564551,0.35707685,0.53107285,0.59311014,0.38369638
0.5456534,0.5189891,1.0,0.38411257,0.68144506,0.41401017,0.7191202,0.26362723,0.7433787,0.6783453,0.20774703,0.8117214,0.23600905,0.22304903,0.3028169,0.23787175,0.41471902,0.1453823,0.26351848,0.2861372,0.19862586,0.6235387,0.11535227,0.41950747,0.072587624,0.5950859,0.34982547,0.73796546,0.5502264,0.93209314,0.28371304,0.41645122,0.3978051,0.306172,0.3939496,0.26163453,0.5720126,0.181675,0.5086085,0.23420097,0.5653739,0.29024577,0.39422542,0.28835115,0.38976273,0.21795143,0.59298813,0.39327657,0.61950934,0.46283892
0.2680066,0.53102314,0.38411257,1.0,0.3028122,0.45215657,0.29783776,0.47976533,0.4302258,0.67765397,0.15362974,0.55156815,0.3955195,0.36236393,0.2596046,0.17245583,0.31487414,0.19735363,0.1777231,0.27603942,0.37264648,0.31405878,0.16634546,0.26837754,0.31756076,0.38344234,0.41326815,0.443256,0.2812221,0.40656948,0.26350912,0.5428603,0.41372326,0.25396252,0.12681672,0.3257735,0.31747437,0.44624227,0.36782467,0.27589035,0.22993141,0.24017084,0.27764446,0.32057327,0.2052251,0.24585417,0.24874417,0.2251244,0.42690733,0.24530545
0.45446095,0.5678597,0.68144506,0.3028122,1.0,0.5149275,0.7550468,0.21180962,0.5320761,0.5233325,0.18892485,0.5684578,0.341852,0.039747044,0.31905535,0.28042096,0.44773164,0.13524584,0.27368277,0.20406398,0.11016325,0.64909446,0.20648706,0.368056,0.062042393,0.43263492,0.33398375,0.6906468,0.485432,0.71415544,0.2149815,0.3546257,0.49154025,0.42345747,0.4271056,0.30678022,0.46741727,0.20956135,0.5502068,0.3398274,0.59908384,0.4752535,0.46560618,0.4569061,0.5135555,0.3291633,0.5877246,0.5449184,0.68114233,0.647458
0.24878289,0.72334605,0.41401017,0.45215657,0.5149275,1.0,0.397918,0.34179604,0.3290393,0.50215876,0.19003373,0.4625578,0.43338588,0.31656474,0.29774377,0.264275,0.33438024,0.15971462,0.27843928,0.3389385,0.4077023,0.46461815,0.18213382,0.3498687,0.2122451,0.47649685,0.5110733,0.4355124,0.38806853,0.42938036,0.056667008,0.4350447,0.33211464,0.35474283,0.25884667,0.31972492,0.30632025,0.32587558,0.33365977,0.22004335,0.32575637,0.45231277,0.32282707,0.5219067,0.26619866,0.5387656,0.35381806,0.4270952,0.4888968,0.41462862
0.66340667,0.5757279,0.7191202,0.29783776,0.7550468,0.397918,1.0,0.32334355,0.64439464,0.5432356,0.31639987,0.59975106,0.32196495,0.016967144,0.4115645,0.3499846,0.60370153,0.27725044,0.2904414,0.2309953,0.15536335,0.7520911,0.27988857,0.41614237,0.13151237,0.34885058,0.40751463,0.7399237,0.5459529,0.7320014,0.22053584,0.37803453,0.5013094,0.47300616,0.2569354,0.32134977,0.48762468,0.21481988,0.47528777,0.35489324,0.60870737,0.39927796,0.46504605,0.41050872,0.44434667,0.3014617,0.4920062,0.52677876,0.6620208,0.61598045
0.29317802,0.5612247,0.26362723,0.47976533,0.21180962,0.34179604,0.32334355,1.0,0.38003713,0.5576872,0.57430816,0.288872,0.4969455,0.24022953,0.517641,0.48961338,0.48319283,0.54654986,0.34036294,0.25847983,0.6303283,0.3794623,0.4921833,0.35990223,0.6665129,0.15528238,0.6371666,0.3219928,0.37751192,0.32359734,0.10659748,0.2253161,0.2681205,0.3695098,0.05900479,0.3497332,0.254281,0.5344662,0.24569383,0.40521318,0.0946332,0.33378857,0.17517689,0.46991804,-0.0087029375,0.41296822,0.13203317,0.3656573,0.34042206,0.11422957
0.6377667,0.46298033,0.7433787,0.4302258,0.5320761,0.3290393,0.64439464,0.38003713,1.0,0.5312093,0.31495252,0.71401805,0.24314743,0.12439195,0.44377592,0.34237942,0.5063968,0.2572685,0.2978713,0.17938815,0.3312388,0.5794278,0.25127056,0.37938273,0.24966359,0.4736408,0.40783384,0.64706665,0.5088342,0.76010805,0.33883134,0.38337636,0.43675834,0.30620158,0.3907761,0.2602847,0.5370638,0.33852327,0.49440995,0.32870153,0.5123181,0.2509131,0.44892105,0.3012074,0.3984838,0.18789236,0.57473844,0.30194938,0.53187495,0.45002627
0.3359193,0.695537,0.6783453,0.67765397,0.5233325,0.50215876,0.5432356,0.5576872,0.5312093,1.0,0.2584025,0.7105311,0.3544671,0.30184072,0.3349514,0.24358526,0.43767366,0.27154186,0.17498326,0.23552257,0.4376282,0.514757,0.19356419,0.34664628,0.35306284,0.43926337,0.54370564,0.64896065,0.44940013,0.67256624,0.179929,0.4677888,0.3888597,0.2641715,0.22157554,0.28966495,0.40494522,0.42057672,0.4061066,0.27310437,0.36475226,0.34950387,0.28574416,0.4183493,0.1805002,0.31696677,0.370848,0.38077593,0.5939177,0.29931712
0.39211437,0.33813846,0.20774703,0.15362974,0.18892485,0.19003373,0.31639987,0.57430816,0.31495252,0.2584025,1.0,0.2889848,0.46630234,0.062774345,0.8008933,0.8548291,0.67659974,0.8598847,0.5491227,0.29350895,0.6222649,0.30432463,0.5968315,0.4186213,0.5926969,0.059077073,0.5584147,0.29039493,0.42690828,0.2617326,0.063745365,0.191146,0.1503657,0.5634998,0.18095638,0.460234,0.16245575,0.5492696,0.23922417,0.38136843,0.15742223,0.3002713,0.29529577,0.37179893,0.03792113,0.40520585,0.22003175,0.31991747,0.3264933,0.1755723
0.45703375,0.63509494,0.8117214,0.55156815,0.5684578,0.4625578,0.59975106,0.288872,0.71401805,0.7105311,0.2889848,1.0,0.2841593,0.31866786,0.39894062,0.3157958,0.4986053,0.2491398,0.33452985,0.32630327,0.305919,0.5087587,0.14555398,0.363915,0.1686343,0.5697262,0.44746697,0.7725149,0.4320424,0.7692165,0.2915067,0.5565578,0.41461074,0.35183007,0.38683853,0.32475385,0.5325986,0.345429,0.5601279,0.29022428,0.52196896,0.3016099,0.39583018,0.36591583,0.3751914,0.26331422,0.5633372,0.35044655,0.67473936,0.45948592
0.23905739,0.45914835,0.23600905,0.3955195,0.341852,0.43338588,0.32196495,0.4969455,0.24314743,0.3544671,0.46630234,0.2841593,1.0,0.23535125,0.49517033,0.4827769,0.4802197,0.4461438,0.4081628,0.4457475,0.5370717,0.39417922,0.31778088,0.5866187,0.3717174,0.26008934,0.47181845,0.34840673,0.5157718,0.25973988,0.17908157,0.27880356,0.509572,0.44716305,0.10243491,0.46297404,0.24956465,0.3909902,0.36389363,0.47908598,0.16273113,0.44272596,0.3459611,0.46524847,0.18505475,0.48605585,0.22898671,0.3778029,0.54225063,0.29973623
0.025968844,0.2924483,0.22304903,0.36236393,0.039747044,0.31656474,0.016967144,0.24022953,0.12439195,0.30184072,0.062774345,0.31866786,0.23535125,1.0,0.17373022,0.12290019,0.12571599,0.09618877,0.44483382,0.6331293,0.2603192,0.08509295,-0.004697437,0.096630044,0.15814097,0.46817216,0.20051764,0.1015419,0.056494325,0.14775331,0.13481854,0.18687057,0.034101773,0.060151972,0.11775828,0.13215773,0.095079914,0.1512456,0.053038273,0.030174257,0.057912517,0.048464127,0.11522774,0.12756073,0.08188435,0.22506267,0.06644281,0.02960179,0.077454634,0.06489628
