"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","scale_id","source_table","raw_resp","scale_name","age_range","child_age__for_child_focused_studies_","sample","construct_type","measurement_tool","item_format","primary_language_s_","construct_name","citation_key","doi","title","year","author"
"360emergencymed_azami_2024","S3","Q34","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Clinical and Interpersonal Communication Skills","She/he performs the clinical examinations according to standardized methods.","NA","Often (50-75%)","3","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S3","Q35","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Clinical and Interpersonal Communication Skills","The student provides accurate and authoritative information by taking a careful and complete history.","NA","Rarely (<25%)","1","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S3","Q36","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Clinical and Interpersonal Communication Skills","Uses appropriate communication skills while taking a history, performing a clinical examination, or teaching the patient or family.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S3","Q37","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Clinical and Interpersonal Communication Skills","She/he patiently, timely, and correctly performs the care and treatment procedure (such as nasogastric tube (NG tube, urinary catheterization, arterial blood gas (ABG), Insertion of a Peripheral Intravenous Cannula, blood collection, etc.).","NA","Rarely (<25%)","1","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S3","Q38","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Clinical and Interpersonal Communication Skills","She/he knows the correct use of the medical equipment and the necessity of regular maintenance of the equipment and checks for safety.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S3","Q39","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Clinical and Interpersonal Communication Skills","She/he is well aware of the patient's situation (assessment, diagnosis, and treatment plan).","NA","Often (50-75%)","3","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S3","Q40","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Clinical and Interpersonal Communication Skills","Deliver accurate, high-quality, and compassionate patient education in a way that is understandable by the patients and their family members.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S3","Q41","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Clinical and Interpersonal Communication Skills","She/he has adequate knowledge of how to diagnose and treat common disorders in clinical placements.","NA","Often (50-75%)","3","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q20","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","Treat each patient as a unique being and have respect for the patient's individuality.","NA","Rarely (<25%)","1","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q21","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","Treat the patients and their companions with dignity and respect.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
